#
# Full target list for orbit 65, sector 29
# Created Wed Feb  3 18:29:36 EST 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
  2760232	1	3	11.13	356.3779	-16.1755
  2760710	1	3	13.84	356.5272	-16.6915
  2761472	1	3	12.55	356.5814	-11.9461
  5640393	1	4	11.18	346.5131	-15.9377
  5656273	1	4	 9.21	347.0821	-15.4100
  5676537	1	4	 9.32	347.1685	-16.3832
  5678173	1	4	 8.01	347.4376	-12.0875
  5717323	1	4	 8.11	347.5239	-17.4472
  5724661	1	4	11.21	347.7827	-17.2221
  5778313	1	4	 8.00	348.6772	-14.4465
  5796048	1	4	10.81	348.9356	-12.3651
  7148510	2	4	 8.03	  4.9072	-43.0821
  7151484	2	1	 9.88	  5.4027	-46.0947
  7220927	3	1	 8.02	 32.3975	-45.7243
  7264867	3	1	 8.63	 34.0279	-46.8845
  9006668	1	4	 9.93	349.2310	-18.6066
  9056576	1	4	 9.17	350.0865	-23.3884
  9058053	1	4	 8.09	350.1985	-19.2364
  9097661	1	3	 8.06	356.9123	 -9.9302
  9166565	1	4	 8.08	352.1689	-21.4682
  9179390	1	4	 8.09	352.4402	-18.5164
  9210746	1	4	 8.73	352.5579	-20.3921
  9708387	1	3	 8.11	358.0430	-11.7209
  9709881	1	3	 9.74	358.2627	 -7.8170
  9761274	1	3	11.07	359.0834	 -9.7690
  9786384	1	3	 8.46	359.1978	-10.0275
  9791889	1	3	 8.13	359.7833	 -8.4878
  9803255	1	3	 9.90	359.9929	 -7.8091
 12359032	1	2	11.59	  0.4437	-29.7774
 12378718	1	2	14.08	  1.1292	-24.4394
 12393800	1	2	10.74	  1.3268	-29.5015
 12395214	1	2	14.13	  1.6930	-27.3482
 12395634	1	2	 8.06	  1.6648	-24.6212
 12421477	1	2	11.70	  2.3634	-25.0114
 12421862	1	2	 9.93	  2.2726	-27.1216
 12423805	1	2	12.72	  2.5288	-26.2156
 12433577	1	2	 8.16	  2.8407	-27.0126
 12473170	1	2	 8.75	  3.7834	-29.0064
 12474920	1	2	11.49	  3.9681	-28.1304
 12862728	1	3	 8.86	  3.8706	-16.1374
 12865353	1	3	 8.02	  4.3105	-14.9962
 12878505	1	3	 8.12	  4.2639	-13.0611
 12968953	1	1	10.09	345.7077	-26.9217
 12969617	1	1	 8.09	345.7252	-29.8526
 12972937	1	1	 8.34	346.1591	-26.1826
 13074467	1	1	 8.40	348.4326	-27.3069
 20881066	1	2	 8.21	  1.1505	-19.4380
 20892891	1	2	11.51	  1.3706	-20.7706
 20897989	1	3	 8.50	  1.4359	-18.1717
 20924617	1	2	 8.04	  7.8002	-21.3513
 24705587	3	3	13.37	 25.7492	-67.3143
 24706089	3	3	 8.00	 25.7738	-69.5726
 24706112	3	3	16.34	 25.6485	-69.6375
 24706893	3	3	 8.21	 25.9830	-71.4666
 25078597	4	2	11.75	 60.3430	-70.8621
 25118964	4	2	12.03	 61.9332	-68.4196
 25132314	4	2	 8.03	 62.1285	-68.7022
 25132999	4	2	10.81	 62.0298	-71.4496
 25133286	4	2	13.58	 62.2984	-71.2948
 25153759	4	2	17.32	 63.0189	-68.1525
 25155310	4	2	10.61	 63.3750	-69.2265
 27965020	1	3	 8.20	358.7270	-19.1305
 29779873	4	2	12.49	 64.8065	-71.3531
 29780677	4	2	13.23	 65.0563	-70.0960
 29831118	4	2	 8.06	 66.4705	-67.5722
 29986479	4	2	 8.01	 72.8589	-68.4398
 29987437	4	2	13.35	 72.8977	-67.8697
 30037565	4	2	 9.60	 73.5421	-70.3790
 30316134	4	2	11.07	 74.3836	-68.0190
 30631031	4	2	 7.28	 75.1644	-70.6238
 30848598	4	2	10.90	 75.7377	-68.5667
 31108997	4	1	 8.43	 76.4295	-66.8490
 31189268	4	2	12.84	 76.8662	-69.8789
 31266926	4	2	 9.64	 88.1559	-71.5155
 31381302	4	2	12.49	 88.3604	-71.5615
 31511890	4	2	 8.04	 89.3423	-67.4283
 31633878	3	3	11.50	 45.4827	-71.6544
 31674330	3	3	11.58	 47.6299	-68.6015
 31740375	3	3	11.80	 48.3177	-66.4075
 31780319	3	3	11.85	 50.2665	-68.2799
 31814318	3	3	 8.02	 51.2205	-68.3343
 31852565	3	3	12.85	 52.6520	-71.7102
 31926807	3	3	11.20	 53.7003	-70.0534
 31946252	3	3	 8.46	 54.6835	-70.8652
 32000460	4	2	 8.45	 56.1969	-71.7036
