id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG007801_P0,SCI_CAL_SubArray,48,48,2020-04-24T05:30:32.467696,0.0,0.0,87,0
TG007801_P0,SCI_CAL_SubArray,49,49,2020-04-24T05:31:32.495671,0.0,0.0,88,0
TG007801_P0,SCI_CAL_SubArray,50,50,2020-04-24T05:32:32.523676,0.0,0.0,89,0
TG007801_P0,SCI_CAL_SubArray,51,51,2020-04-24T05:33:32.551651,0.0,0.0,90,0
TG007801_P0,SCI_CAL_SubArray,52,52,2020-04-24T05:34:32.579656,0.0,0.0,91,0
TG007801_P0,SCI_CAL_SubArray,53,53,2020-04-24T05:35:32.606624,0.0,0.0,92,0
TG007801_P0,SCI_CAL_SubArray,54,54,2020-04-24T05:36:32.634629,0.0,0.0,93,0
TG007801_P0,SCI_CAL_SubArray,55,55,2020-04-24T05:37:32.662604,0.0,0.0,94,0
TG007801_P0,SCI_CAL_SubArray,56,56,2020-04-24T05:38:32.690609,0.0,0.0,95,0
TG007801_P0,SCI_CAL_SubArray,57,57,2020-04-24T05:39:32.717608,0.0,0.0,96,0
TG007801_P0,SCI_CAL_SubArray,58,58,2020-04-24T05:40:32.745582,0.0,0.0,97,0
TG007801_P0,SCI_CAL_SubArray,59,59,2020-04-24T05:41:32.773587,0.0,0.0,98,0
TG007801_P0,SCI_CAL_SubArray,60,60,2020-04-24T05:42:32.801562,0.0,0.0,99,0
TG007801_P0,SCI_CAL_SubArray,61,61,2020-04-24T05:43:32.829568,0.0,0.0,100,0
TG007801_P0,SCI_CAL_SubArray,62,62,2020-04-24T05:44:32.856535,0.0,0.0,101,0
TG007801_P0,SCI_CAL_SubArray,63,63,2020-04-24T05:45:32.884541,0.0,0.0,102,0
TG007801_P0,SCI_CAL_SubArray,64,64,2020-04-24T05:46:32.912515,0.0,0.0,103,0
TG007801_P0,SCI_CAL_SubArray,65,65,2020-04-24T05:47:32.940521,0.0,0.0,104,0
TG007801_P0,SCI_CAL_SubArray,66,66,2020-04-24T05:48:32.967519,0.0,0.0,105,0
TG007801_P0,SCI_CAL_SubArray,67,67,2020-04-24T05:49:32.995493,0.0,0.0,106,0
TG007801_P0,SCI_CAL_SubArray,68,68,2020-04-24T05:50:33.023499,0.0,0.0,107,0
TG007801_P0,SCI_CAL_SubArray,69,69,2020-04-24T05:51:33.051474,0.0,0.0,108,0
TG007801_P0,SCI_CAL_SubArray,70,70,2020-04-24T05:52:33.079479,0.0,0.0,109,0
TG007801_P0,SCI_CAL_SubArray,71,71,2020-04-24T05:53:33.106447,0.0,0.0,110,0
TG007801_P0,SCI_CAL_SubArray,72,72,2020-04-24T05:54:33.134452,0.0,0.0,111,0
TG007801_P0,SCI_CAL_SubArray,73,73,2020-04-24T05:55:33.162426,0.0,0.0,112,0
TG007801_P0,SCI_CAL_SubArray,74,74,2020-04-24T05:56:33.190432,0.0,0.0,113,0
TG007801_P0,SCI_CAL_SubArray,75,75,2020-04-24T05:57:33.217430,0.0,0.0,114,0
TG007801_P0,SCI_CAL_SubArray,76,76,2020-04-24T05:58:33.245405,0.0,0.0,115,0
TG007801_P0,SCI_COR_SubArray,48,48,2020-04-24T05:30:32.467696,0.0,0.0,87,0
TG007801_P0,SCI_COR_SubArray,49,49,2020-04-24T05:31:32.495671,0.0,0.0,88,0
TG007801_P0,SCI_COR_SubArray,50,50,2020-04-24T05:32:32.523676,0.0,0.0,89,0
TG007801_P0,SCI_COR_SubArray,51,51,2020-04-24T05:33:32.551651,0.0,0.0,90,0
TG007801_P0,SCI_COR_SubArray,52,52,2020-04-24T05:34:32.579656,0.0,0.0,91,0
TG007801_P0,SCI_COR_SubArray,53,53,2020-04-24T05:35:32.606624,0.0,0.0,92,0
TG007801_P0,SCI_COR_SubArray,54,54,2020-04-24T05:36:32.634629,0.0,0.0,93,0
TG007801_P0,SCI_COR_SubArray,55,55,2020-04-24T05:37:32.662604,0.0,0.0,94,0
TG007801_P0,SCI_COR_SubArray,56,56,2020-04-24T05:38:32.690609,0.0,0.0,95,0
TG007801_P0,SCI_COR_SubArray,57,57,2020-04-24T05:39:32.717608,0.0,0.0,96,0
TG007801_P0,SCI_COR_SubArray,58,58,2020-04-24T05:40:32.745582,0.0,0.0,97,0
TG007801_P0,SCI_COR_SubArray,59,59,2020-04-24T05:41:32.773587,0.0,0.0,98,0
TG007801_P0,SCI_COR_SubArray,60,60,2020-04-24T05:42:32.801562,0.0,0.0,99,0
TG007801_P0,SCI_COR_SubArray,61,61,2020-04-24T05:43:32.829568,0.0,0.0,100,0
TG007801_P0,SCI_COR_SubArray,62,62,2020-04-24T05:44:32.856535,0.0,0.0,101,0
TG007801_P0,SCI_COR_SubArray,63,63,2020-04-24T05:45:32.884541,0.0,0.0,102,0
TG007801_P0,SCI_COR_SubArray,64,64,2020-04-24T05:46:32.912515,0.0,0.0,103,0
TG007801_P0,SCI_COR_SubArray,65,65,2020-04-24T05:47:32.940521,0.0,0.0,104,0
TG007801_P0,SCI_COR_SubArray,66,66,2020-04-24T05:48:32.967519,0.0,0.0,105,0
TG007801_P0,SCI_COR_SubArray,67,67,2020-04-24T05:49:32.995493,0.0,0.0,106,0
TG007801_P0,SCI_COR_SubArray,68,68,2020-04-24T05:50:33.023499,0.0,0.0,107,0
TG007801_P0,SCI_COR_SubArray,69,69,2020-04-24T05:51:33.051474,0.0,0.0,108,0
TG007801_P0,SCI_COR_SubArray,70,70,2020-04-24T05:52:33.079479,0.0,0.0,109,0
TG007801_P0,SCI_COR_SubArray,71,71,2020-04-24T05:53:33.106447,0.0,0.0,110,0
TG007801_P0,SCI_COR_SubArray,72,72,2020-04-24T05:54:33.134452,0.0,0.0,111,0
TG007801_P0,SCI_COR_SubArray,73,73,2020-04-24T05:55:33.162426,0.0,0.0,112,0
TG007801_P0,SCI_COR_SubArray,74,74,2020-04-24T05:56:33.190432,0.0,0.0,113,0
TG007801_P0,SCI_COR_SubArray,75,75,2020-04-24T05:57:33.217430,0.0,0.0,114,0
TG007801_P0,SCI_COR_SubArray,76,76,2020-04-24T05:58:33.245405,0.0,0.0,115,0
