id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG006402_N0,SCI_CAL_SubArray,7,7,2020-04-27T16:21:30.740670,0.0,0.0,8,0
TG006402_N0,SCI_CAL_SubArray,8,8,2020-04-27T16:22:30.768644,0.0,0.0,9,0
TG006402_N0,SCI_CAL_SubArray,9,9,2020-04-27T16:23:30.796649,0.0,0.0,10,0
TG006402_N0,SCI_CAL_SubArray,10,10,2020-04-27T16:24:30.823648,0.0,0.0,11,0
TG006402_N0,SCI_CAL_SubArray,11,11,2020-04-27T16:25:30.851622,0.0,0.0,12,0
TG006402_N0,SCI_CAL_SubArray,12,12,2020-04-27T16:26:30.879628,0.0,0.0,13,0
TG006402_N0,SCI_CAL_SubArray,13,13,2020-04-27T16:27:30.907603,0.0,0.0,14,0
TG006402_N0,SCI_CAL_SubArray,14,14,2020-04-27T16:28:30.935608,0.0,0.0,15,0
TG006402_N0,SCI_CAL_SubArray,15,15,2020-04-27T16:29:30.962575,0.0,0.0,16,0
TG006402_N0,SCI_CAL_SubArray,16,16,2020-04-27T16:30:30.990581,0.0,0.0,17,0
TG006402_N0,SCI_CAL_SubArray,17,17,2020-04-27T16:31:31.018555,0.0,0.0,18,0
TG006402_N0,SCI_CAL_SubArray,18,18,2020-04-27T16:32:31.046561,0.0,0.0,19,0
TG006402_N0,SCI_CAL_SubArray,19,19,2020-04-27T16:33:31.073559,0.0,0.0,20,0
TG006402_N0,SCI_CAL_SubArray,20,20,2020-04-27T16:34:31.101534,0.0,0.0,21,0
TG006402_N0,SCI_CAL_SubArray,21,21,2020-04-27T16:35:31.129539,0.0,0.0,22,0
TG006402_N0,SCI_CAL_SubArray,22,22,2020-04-27T16:36:31.157514,0.0,0.0,23,0
TG006402_N0,SCI_CAL_SubArray,23,23,2020-04-27T16:37:31.184512,0.0,0.0,24,0
TG006402_N0,SCI_CAL_SubArray,24,24,2020-04-27T16:38:31.212487,0.0,0.0,25,0
TG006402_N0,SCI_CAL_SubArray,25,25,2020-04-27T16:39:31.240492,0.0,0.0,26,0
TG006402_N0,SCI_CAL_SubArray,26,26,2020-04-27T16:40:31.268467,0.0,0.0,27,0
TG006402_N0,SCI_CAL_SubArray,27,27,2020-04-27T16:41:31.295465,0.0,0.0,28,0
TG006402_N0,SCI_CAL_SubArray,28,28,2020-04-27T16:42:31.323470,0.0,0.0,29,0
TG006402_N0,SCI_CAL_SubArray,29,29,2020-04-27T16:43:31.351445,0.0,0.0,30,0
TG006402_N0,SCI_CAL_SubArray,30,30,2020-04-27T16:44:31.379450,0.0,0.0,31,0
TG006402_N0,SCI_CAL_SubArray,31,31,2020-04-27T16:45:31.406418,0.0,0.0,32,0
TG006402_N0,SCI_CAL_SubArray,32,32,2020-04-27T16:46:31.434423,0.0,0.0,33,0
TG006402_N0,SCI_CAL_SubArray,33,33,2020-04-27T16:47:31.462398,0.0,0.0,34,0
TG006402_N0,SCI_CAL_SubArray,34,34,2020-04-27T16:48:31.490403,0.0,0.0,35,0
TG006402_N0,SCI_CAL_SubArray,35,35,2020-04-27T16:49:31.517401,0.0,0.0,36,0
TG006402_N0,SCI_COR_SubArray,7,7,2020-04-27T16:21:30.740670,0.0,0.0,8,0
TG006402_N0,SCI_COR_SubArray,8,8,2020-04-27T16:22:30.768644,0.0,0.0,9,0
TG006402_N0,SCI_COR_SubArray,9,9,2020-04-27T16:23:30.796649,0.0,0.0,10,0
TG006402_N0,SCI_COR_SubArray,10,10,2020-04-27T16:24:30.823648,0.0,0.0,11,0
TG006402_N0,SCI_COR_SubArray,11,11,2020-04-27T16:25:30.851622,0.0,0.0,12,0
TG006402_N0,SCI_COR_SubArray,12,12,2020-04-27T16:26:30.879628,0.0,0.0,13,0
TG006402_N0,SCI_COR_SubArray,13,13,2020-04-27T16:27:30.907603,0.0,0.0,14,0
TG006402_N0,SCI_COR_SubArray,14,14,2020-04-27T16:28:30.935608,0.0,0.0,15,0
TG006402_N0,SCI_COR_SubArray,15,15,2020-04-27T16:29:30.962575,0.0,0.0,16,0
TG006402_N0,SCI_COR_SubArray,16,16,2020-04-27T16:30:30.990581,0.0,0.0,17,0
TG006402_N0,SCI_COR_SubArray,17,17,2020-04-27T16:31:31.018555,0.0,0.0,18,0
TG006402_N0,SCI_COR_SubArray,18,18,2020-04-27T16:32:31.046561,0.0,0.0,19,0
TG006402_N0,SCI_COR_SubArray,19,19,2020-04-27T16:33:31.073559,0.0,0.0,20,0
TG006402_N0,SCI_COR_SubArray,20,20,2020-04-27T16:34:31.101534,0.0,0.0,21,0
TG006402_N0,SCI_COR_SubArray,21,21,2020-04-27T16:35:31.129539,0.0,0.0,22,0
TG006402_N0,SCI_COR_SubArray,22,22,2020-04-27T16:36:31.157514,0.0,0.0,23,0
TG006402_N0,SCI_COR_SubArray,23,23,2020-04-27T16:37:31.184512,0.0,0.0,24,0
TG006402_N0,SCI_COR_SubArray,24,24,2020-04-27T16:38:31.212487,0.0,0.0,25,0
TG006402_N0,SCI_COR_SubArray,25,25,2020-04-27T16:39:31.240492,0.0,0.0,26,0
TG006402_N0,SCI_COR_SubArray,26,26,2020-04-27T16:40:31.268467,0.0,0.0,27,0
TG006402_N0,SCI_COR_SubArray,27,27,2020-04-27T16:41:31.295465,0.0,0.0,28,0
TG006402_N0,SCI_COR_SubArray,28,28,2020-04-27T16:42:31.323470,0.0,0.0,29,0
TG006402_N0,SCI_COR_SubArray,29,29,2020-04-27T16:43:31.351445,0.0,0.0,30,0
TG006402_N0,SCI_COR_SubArray,30,30,2020-04-27T16:44:31.379450,0.0,0.0,31,0
TG006402_N0,SCI_COR_SubArray,31,31,2020-04-27T16:45:31.406418,0.0,0.0,32,0
TG006402_N0,SCI_COR_SubArray,32,32,2020-04-27T16:46:31.434423,0.0,0.0,33,0
TG006402_N0,SCI_COR_SubArray,33,33,2020-04-27T16:47:31.462398,0.0,0.0,34,0
TG006402_N0,SCI_COR_SubArray,34,34,2020-04-27T16:48:31.490403,0.0,0.0,35,0
TG006402_N0,SCI_COR_SubArray,35,35,2020-04-27T16:49:31.517401,0.0,0.0,36,0
