id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG000901_P0,SCI_CAL_SubArray,46,46,2020-04-18T20:03:31.982274,0.0,0.0,61,0
TG000901_P0,SCI_CAL_SubArray,47,47,2020-04-18T20:04:32.009272,0.0,0.0,62,0
TG000901_P0,SCI_CAL_SubArray,48,48,2020-04-18T20:05:32.037247,0.0,0.0,63,0
TG000901_P0,SCI_CAL_SubArray,49,49,2020-04-18T20:06:32.065252,0.0,0.0,64,0
TG000901_P0,SCI_CAL_SubArray,50,50,2020-04-18T20:07:32.093227,0.0,0.0,65,0
TG000901_P0,SCI_CAL_SubArray,51,51,2020-04-18T20:08:32.121232,0.0,0.0,66,0
TG000901_P0,SCI_CAL_SubArray,52,52,2020-04-18T20:09:32.148230,0.0,0.0,67,0
TG000901_P0,SCI_CAL_SubArray,53,53,2020-04-18T20:10:32.176205,0.0,0.0,68,0
TG000901_P0,SCI_CAL_SubArray,54,54,2020-04-18T20:11:32.204210,0.0,0.0,69,0
TG000901_P0,SCI_CAL_SubArray,55,55,2020-04-18T20:12:32.232185,0.0,0.0,70,0
TG000901_P0,SCI_CAL_SubArray,56,56,2020-04-18T20:13:32.260190,0.0,0.0,71,0
TG000901_P0,SCI_CAL_SubArray,57,57,2020-04-18T20:14:32.287158,0.0,0.0,72,0
TG000901_P0,SCI_CAL_SubArray,58,58,2020-04-18T20:15:32.315163,0.0,0.0,73,0
TG000901_P0,SCI_CAL_SubArray,59,59,2020-04-18T20:16:32.343138,0.0,0.0,74,0
TG000901_P0,SCI_CAL_SubArray,60,60,2020-04-18T20:17:32.371143,0.0,0.0,75,0
TG000901_P0,SCI_CAL_SubArray,61,61,2020-04-18T20:18:32.399118,0.0,0.0,76,0
TG000901_P0,SCI_CAL_SubArray,62,62,2020-04-18T20:19:32.426116,0.0,0.0,77,0
TG000901_P0,SCI_CAL_SubArray,63,63,2020-04-18T20:20:32.454121,0.0,0.0,78,0
TG000901_P0,SCI_CAL_SubArray,64,64,2020-04-18T20:21:32.482096,0.0,0.0,79,0
TG000901_P0,SCI_CAL_SubArray,65,65,2020-04-18T20:22:32.510101,0.0,0.0,80,0
TG000901_P0,SCI_CAL_SubArray,66,66,2020-04-18T20:23:32.538076,0.0,0.0,81,0
TG000901_P0,SCI_CAL_SubArray,67,67,2020-04-18T20:24:32.565074,0.0,0.0,82,0
TG000901_P0,SCI_CAL_SubArray,68,68,2020-04-18T20:25:32.593049,0.0,0.0,83,0
TG000901_P0,SCI_CAL_SubArray,69,69,2020-04-18T20:26:32.621054,0.0,0.0,84,0
TG000901_P0,SCI_CAL_SubArray,70,70,2020-04-18T20:27:32.649029,0.0,0.0,85,0
TG000901_P0,SCI_CAL_SubArray,71,71,2020-04-18T20:28:32.677034,0.0,0.0,86,0
TG000901_P0,SCI_CAL_SubArray,72,72,2020-04-18T20:29:32.704033,0.0,0.0,87,0
TG000901_P0,SCI_CAL_SubArray,73,73,2020-04-18T20:30:32.732007,0.0,0.0,88,0
TG000901_P0,SCI_CAL_SubArray,74,74,2020-04-18T20:31:32.760013,0.0,0.0,89,0
TG000901_P0,SCI_COR_SubArray,46,46,2020-04-18T20:03:31.982274,0.0,0.0,61,0
TG000901_P0,SCI_COR_SubArray,47,47,2020-04-18T20:04:32.009272,0.0,0.0,62,0
TG000901_P0,SCI_COR_SubArray,48,48,2020-04-18T20:05:32.037247,0.0,0.0,63,0
TG000901_P0,SCI_COR_SubArray,49,49,2020-04-18T20:06:32.065252,0.0,0.0,64,0
TG000901_P0,SCI_COR_SubArray,50,50,2020-04-18T20:07:32.093227,0.0,0.0,65,0
TG000901_P0,SCI_COR_SubArray,51,51,2020-04-18T20:08:32.121232,0.0,0.0,66,0
TG000901_P0,SCI_COR_SubArray,52,52,2020-04-18T20:09:32.148230,0.0,0.0,67,0
TG000901_P0,SCI_COR_SubArray,53,53,2020-04-18T20:10:32.176205,0.0,0.0,68,0
TG000901_P0,SCI_COR_SubArray,54,54,2020-04-18T20:11:32.204210,0.0,0.0,69,0
TG000901_P0,SCI_COR_SubArray,55,55,2020-04-18T20:12:32.232185,0.0,0.0,70,0
TG000901_P0,SCI_COR_SubArray,56,56,2020-04-18T20:13:32.260190,0.0,0.0,71,0
TG000901_P0,SCI_COR_SubArray,57,57,2020-04-18T20:14:32.287158,0.0,0.0,72,0
TG000901_P0,SCI_COR_SubArray,58,58,2020-04-18T20:15:32.315163,0.0,0.0,73,0
TG000901_P0,SCI_COR_SubArray,59,59,2020-04-18T20:16:32.343138,0.0,0.0,74,0
TG000901_P0,SCI_COR_SubArray,60,60,2020-04-18T20:17:32.371143,0.0,0.0,75,0
TG000901_P0,SCI_COR_SubArray,61,61,2020-04-18T20:18:32.399118,0.0,0.0,76,0
TG000901_P0,SCI_COR_SubArray,62,62,2020-04-18T20:19:32.426116,0.0,0.0,77,0
TG000901_P0,SCI_COR_SubArray,63,63,2020-04-18T20:20:32.454121,0.0,0.0,78,0
