id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG005201_N0,SCI_CAL_SubArray,51,51,2020-04-27T15:18:31.610279,0.0,0.0,52,0
TG005201_N0,SCI_CAL_SubArray,52,52,2020-04-27T15:19:31.637277,0.0,0.0,53,0
TG005201_N0,SCI_CAL_SubArray,53,53,2020-04-27T15:20:31.665282,0.0,0.0,54,0
TG005201_N0,SCI_CAL_SubArray,54,54,2020-04-27T15:21:31.693257,0.0,0.0,55,0
TG005201_N0,SCI_CAL_SubArray,55,55,2020-04-27T15:22:31.721262,0.0,0.0,56,0
TG005201_N0,SCI_CAL_SubArray,56,56,2020-04-27T15:23:31.748230,0.0,0.0,57,0
TG005201_N0,SCI_CAL_SubArray,57,57,2020-04-27T15:24:31.776235,0.0,0.0,58,0
TG005201_N0,SCI_CAL_SubArray,58,58,2020-04-27T15:25:31.804210,0.0,0.0,59,0
TG005201_N0,SCI_CAL_SubArray,59,59,2020-04-27T15:26:31.831208,0.0,0.0,60,0
TG005201_N0,SCI_CAL_SubArray,60,60,2020-04-27T15:27:31.859213,0.0,0.0,61,0
TG005201_N0,SCI_CAL_SubArray,61,61,2020-04-27T15:28:31.887188,0.0,0.0,62,0
TG005201_N0,SCI_CAL_SubArray,62,62,2020-04-27T15:29:31.915193,0.0,0.0,63,0
TG005201_N0,SCI_CAL_SubArray,63,63,2020-04-27T15:30:31.942161,0.0,0.0,64,0
TG005201_N0,SCI_CAL_SubArray,64,64,2020-04-27T15:31:31.970166,0.0,0.0,65,0
TG005201_N0,SCI_CAL_SubArray,65,65,2020-04-27T15:32:31.998141,0.0,0.0,66,0
TG005201_N0,SCI_CAL_SubArray,66,66,2020-04-27T15:33:32.026146,0.0,0.0,67,0
TG005201_N0,SCI_CAL_SubArray,67,67,2020-04-27T15:34:32.053144,0.0,0.0,68,0
TG005201_N0,SCI_CAL_SubArray,68,68,2020-04-27T15:35:32.081119,0.0,0.0,69,0
TG005201_N0,SCI_CAL_SubArray,69,69,2020-04-27T15:36:32.109124,0.0,0.0,70,0
TG005201_N0,SCI_CAL_SubArray,70,70,2020-04-27T15:37:32.137099,0.0,0.0,71,0
TG005201_N0,SCI_CAL_SubArray,71,71,2020-04-27T15:38:32.164097,0.0,0.0,72,0
TG005201_N0,SCI_CAL_SubArray,72,72,2020-04-27T15:39:32.192072,0.0,0.0,73,0
TG005201_N0,SCI_CAL_SubArray,73,73,2020-04-27T15:40:32.220078,0.0,0.0,74,0
TG005201_N0,SCI_CAL_SubArray,74,74,2020-04-27T15:41:32.248052,0.0,0.0,75,0
TG005201_N0,SCI_CAL_SubArray,75,75,2020-04-27T15:42:32.275050,0.0,0.0,76,0
TG005201_N0,SCI_CAL_SubArray,76,76,2020-04-27T15:43:32.303056,0.0,0.0,77,0
TG005201_N0,SCI_CAL_SubArray,77,77,2020-04-27T15:44:32.331030,0.0,0.0,78,0
TG005201_N0,SCI_CAL_SubArray,78,78,2020-04-27T15:45:32.359036,0.0,0.0,79,0
TG005201_N0,SCI_CAL_SubArray,79,79,2020-04-27T15:46:32.386003,0.0,0.0,80,0
TG005201_N0,SCI_COR_SubArray,51,51,2020-04-27T15:18:31.610279,0.0,0.0,52,0
TG005201_N0,SCI_COR_SubArray,52,52,2020-04-27T15:19:31.637277,0.0,0.0,53,0
TG005201_N0,SCI_COR_SubArray,53,53,2020-04-27T15:20:31.665282,0.0,0.0,54,0
TG005201_N0,SCI_COR_SubArray,54,54,2020-04-27T15:21:31.693257,0.0,0.0,55,0
TG005201_N0,SCI_COR_SubArray,55,55,2020-04-27T15:22:31.721262,0.0,0.0,56,0
TG005201_N0,SCI_COR_SubArray,56,56,2020-04-27T15:23:31.748230,0.0,0.0,57,0
TG005201_N0,SCI_COR_SubArray,57,57,2020-04-27T15:24:31.776235,0.0,0.0,58,0
TG005201_N0,SCI_COR_SubArray,58,58,2020-04-27T15:25:31.804210,0.0,0.0,59,0
TG005201_N0,SCI_COR_SubArray,59,59,2020-04-27T15:26:31.831208,0.0,0.0,60,0
TG005201_N0,SCI_COR_SubArray,60,60,2020-04-27T15:27:31.859213,0.0,0.0,61,0
TG005201_N0,SCI_COR_SubArray,61,61,2020-04-27T15:28:31.887188,0.0,0.0,62,0
TG005201_N0,SCI_COR_SubArray,62,62,2020-04-27T15:29:31.915193,0.0,0.0,63,0
TG005201_N0,SCI_COR_SubArray,63,63,2020-04-27T15:30:31.942161,0.0,0.0,64,0
TG005201_N0,SCI_COR_SubArray,64,64,2020-04-27T15:31:31.970166,0.0,0.0,65,0
TG005201_N0,SCI_COR_SubArray,65,65,2020-04-27T15:32:31.998141,0.0,0.0,66,0
TG005201_N0,SCI_COR_SubArray,66,66,2020-04-27T15:33:32.026146,0.0,0.0,67,0
TG005201_N0,SCI_COR_SubArray,67,67,2020-04-27T15:34:32.053144,0.0,0.0,68,0
TG005201_N0,SCI_COR_SubArray,68,68,2020-04-27T15:35:32.081119,0.0,0.0,69,0
TG005201_N0,SCI_COR_SubArray,69,69,2020-04-27T15:36:32.109124,0.0,0.0,70,0
TG005201_N0,SCI_COR_SubArray,70,70,2020-04-27T15:37:32.137099,0.0,0.0,71,0
TG005201_N0,SCI_COR_SubArray,71,71,2020-04-27T15:38:32.164097,0.0,0.0,72,0
TG005201_N0,SCI_COR_SubArray,72,72,2020-04-27T15:39:32.192072,0.0,0.0,73,0
TG005201_N0,SCI_COR_SubArray,73,73,2020-04-27T15:40:32.220078,0.0,0.0,74,0
TG005201_N0,SCI_COR_SubArray,74,74,2020-04-27T15:41:32.248052,0.0,0.0,75,0
TG005201_N0,SCI_COR_SubArray,75,75,2020-04-27T15:42:32.275050,0.0,0.0,76,0
TG005201_N0,SCI_COR_SubArray,76,76,2020-04-27T15:43:32.303056,0.0,0.0,77,0
TG005201_N0,SCI_COR_SubArray,77,77,2020-04-27T15:44:32.331030,0.0,0.0,78,0
TG005201_N0,SCI_COR_SubArray,78,78,2020-04-27T15:45:32.359036,0.0,0.0,79,0
TG005201_N0,SCI_COR_SubArray,79,79,2020-04-27T15:46:32.386003,0.0,0.0,80,0
