id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG000801_P0,SCI_CAL_SubArray,209,209,2020-03-25T13:27:56.434476,0.0,0.0,219,0
TG000801_P0,SCI_CAL_SubArray,210,210,2020-03-25T13:28:37.461478,0.0,0.0,220,0
TG000801_P0,SCI_CAL_SubArray,211,211,2020-03-25T13:29:18.488480,0.0,0.0,221,0
TG000801_P0,SCI_CAL_SubArray,212,212,2020-03-25T13:29:59.514475,0.0,0.0,222,0
TG000801_P0,SCI_CAL_SubArray,213,213,2020-03-25T13:30:40.541446,0.0,0.0,223,0
TG000801_P0,SCI_CAL_SubArray,214,214,2020-03-25T13:31:21.567441,0.0,0.0,224,0
TG000801_P0,SCI_CAL_SubArray,215,215,2020-03-25T13:32:02.594443,0.0,0.0,225,0
TG000801_P0,SCI_CAL_SubArray,216,216,2020-03-25T13:32:43.621445,0.0,0.0,226,0
TG000801_P0,SCI_CAL_SubArray,217,217,2020-03-25T13:33:24.647439,0.0,0.0,227,0
TG000801_P0,SCI_CAL_SubArray,218,218,2020-03-25T13:34:05.674411,0.0,0.0,228,0
TG000801_P0,SCI_CAL_SubArray,219,219,2020-03-25T13:34:46.700406,0.0,0.0,229,0
TG000801_P0,SCI_CAL_SubArray,220,220,2020-03-25T13:35:27.727407,0.0,0.0,230,0
TG000801_P0,SCI_CAL_SubArray,221,221,2020-03-25T13:36:08.754410,0.0,0.0,231,0
TG000801_P0,SCI_CAL_SubArray,222,222,2020-03-25T13:36:49.780404,0.0,0.0,232,0
TG000801_P0,SCI_CAL_SubArray,223,223,2020-03-25T13:37:30.807406,0.0,0.0,233,0
TG000801_P0,SCI_CAL_SubArray,224,224,2020-03-25T13:38:11.833401,0.0,0.0,234,0
TG000801_P0,SCI_CAL_SubArray,225,225,2020-03-25T13:38:52.860372,0.0,0.0,235,0
TG000801_P0,SCI_CAL_SubArray,226,226,2020-03-25T13:39:33.887374,0.0,0.0,236,0
TG000801_P0,SCI_CAL_SubArray,227,227,2020-03-25T13:40:14.913369,0.0,0.0,237,0
TG000801_P0,SCI_CAL_SubArray,228,228,2020-03-25T13:40:55.940371,0.0,0.0,238,0
TG000801_P0,SCI_CAL_SubArray,229,229,2020-03-25T13:41:36.966366,0.0,0.0,239,0
TG000801_P0,SCI_CAL_SubArray,230,230,2020-03-25T13:42:17.993337,0.0,0.0,240,0
TG000801_P0,SCI_CAL_SubArray,231,231,2020-03-25T13:42:59.020339,0.0,0.0,241,0
TG000801_P0,SCI_CAL_SubArray,232,232,2020-03-25T13:43:40.046334,0.0,0.0,242,0
TG000801_P0,SCI_CAL_SubArray,233,233,2020-03-25T13:44:21.073336,0.0,0.0,243,0
TG000801_P0,SCI_CAL_SubArray,234,234,2020-03-25T13:45:02.099331,0.0,0.0,244,0
TG000801_P0,SCI_CAL_SubArray,235,235,2020-03-25T13:45:43.126333,0.0,0.0,245,0
TG000801_P0,SCI_CAL_SubArray,236,236,2020-03-25T13:46:24.153304,0.0,0.0,246,0
TG000801_P0,SCI_CAL_SubArray,237,237,2020-03-25T13:47:05.179299,0.0,0.0,247,0
TG000801_P0,SCI_COR_SubArray,209,209,2020-03-25T13:27:56.434476,0.0,0.0,219,0
TG000801_P0,SCI_COR_SubArray,210,210,2020-03-25T13:28:37.461478,0.0,0.0,220,0
TG000801_P0,SCI_COR_SubArray,211,211,2020-03-25T13:29:18.488480,0.0,0.0,221,0
TG000801_P0,SCI_COR_SubArray,212,212,2020-03-25T13:29:59.514475,0.0,0.0,222,0
TG000801_P0,SCI_COR_SubArray,213,213,2020-03-25T13:30:40.541446,0.0,0.0,223,0
TG000801_P0,SCI_COR_SubArray,214,214,2020-03-25T13:31:21.567441,0.0,0.0,224,0
TG000801_P0,SCI_COR_SubArray,215,215,2020-03-25T13:32:02.594443,0.0,0.0,225,0
TG000801_P0,SCI_COR_SubArray,216,216,2020-03-25T13:32:43.621445,0.0,0.0,226,0
TG000801_P0,SCI_COR_SubArray,217,217,2020-03-25T13:33:24.647439,0.0,0.0,227,0
TG000801_P0,SCI_COR_SubArray,218,218,2020-03-25T13:34:05.674411,0.0,0.0,228,0
TG000801_P0,SCI_COR_SubArray,219,219,2020-03-25T13:34:46.700406,0.0,0.0,229,0
TG000801_P0,SCI_COR_SubArray,220,220,2020-03-25T13:35:27.727407,0.0,0.0,230,0
TG000801_P0,SCI_COR_SubArray,221,221,2020-03-25T13:36:08.754410,0.0,0.0,231,0
TG000801_P0,SCI_COR_SubArray,222,222,2020-03-25T13:36:49.780404,0.0,0.0,232,0
TG000801_P0,SCI_COR_SubArray,223,223,2020-03-25T13:37:30.807406,0.0,0.0,233,0
TG000801_P0,SCI_COR_SubArray,224,224,2020-03-25T13:38:11.833401,0.0,0.0,234,0
TG000801_P0,SCI_COR_SubArray,225,225,2020-03-25T13:38:52.860372,0.0,0.0,235,0
TG000801_P0,SCI_COR_SubArray,226,226,2020-03-25T13:39:33.887374,0.0,0.0,236,0
TG000801_P0,SCI_COR_SubArray,227,227,2020-03-25T13:40:14.913369,0.0,0.0,237,0
TG000801_P0,SCI_COR_SubArray,228,228,2020-03-25T13:40:55.940371,0.0,0.0,238,0
TG000801_P0,SCI_COR_SubArray,229,229,2020-03-25T13:41:36.966366,0.0,0.0,239,0
