id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG000102_P0,SCI_CAL_SubArray,260,260,2020-05-03T01:27:20.248274,0.0,0.0,334,0
TG000102_P0,SCI_CAL_SubArray,261,261,2020-05-03T01:28:20.276279,0.0,0.0,335,0
TG000102_P0,SCI_CAL_SubArray,262,262,2020-05-03T01:29:20.305261,0.0,0.0,336,0
TG000102_P0,SCI_CAL_SubArray,263,263,2020-05-03T01:30:20.333266,0.0,0.0,337,0
TG000102_P0,SCI_CAL_SubArray,264,264,2020-05-03T01:31:20.361241,0.0,0.0,338,0
TG000102_P0,SCI_CAL_SubArray,265,265,2020-05-03T01:32:20.388239,0.0,0.0,339,0
TG000102_P0,SCI_CAL_SubArray,266,266,2020-05-03T01:33:20.416214,0.0,0.0,340,0
TG000102_P0,SCI_CAL_SubArray,267,267,2020-05-03T01:34:20.444219,0.0,0.0,341,0
TG000102_P0,SCI_CAL_SubArray,268,268,2020-05-03T01:35:20.472194,0.0,0.0,342,0
TG000102_P0,SCI_CAL_SubArray,269,269,2020-05-03T01:36:20.499192,0.0,0.0,343,0
TG000102_P0,SCI_CAL_SubArray,270,270,2020-05-03T01:37:20.527197,0.0,0.0,344,0
TG000102_P0,SCI_CAL_SubArray,271,271,2020-05-03T01:38:20.555172,0.0,0.0,345,0
TG000102_P0,SCI_CAL_SubArray,272,272,2020-05-03T01:39:20.583177,0.0,0.0,346,0
TG000102_P0,SCI_CAL_SubArray,273,273,2020-05-03T01:40:20.611152,0.0,0.0,347,0
TG000102_P0,SCI_CAL_SubArray,274,274,2020-05-03T01:41:20.638150,0.0,0.0,348,0
TG000102_P0,SCI_CAL_SubArray,275,275,2020-05-03T01:42:20.666125,0.0,0.0,349,0
TG000102_P0,SCI_CAL_SubArray,276,276,2020-05-03T01:43:20.694130,0.0,0.0,350,0
TG000102_P0,SCI_CAL_SubArray,277,277,2020-05-03T01:44:20.722105,0.0,0.0,351,0
TG000102_P0,SCI_CAL_SubArray,278,278,2020-05-03T01:45:20.749103,0.0,0.0,352,0
TG000102_P0,SCI_CAL_SubArray,279,279,2020-05-03T01:46:20.777108,0.0,0.0,353,0
TG000102_P0,SCI_CAL_SubArray,280,280,2020-05-03T01:47:20.805083,0.0,0.0,354,0
TG000102_P0,SCI_CAL_SubArray,281,281,2020-05-03T01:48:20.833088,0.0,0.0,355,0
