id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG023501_P0,SCI_CAL_SubArray,1802,1802,2020-04-21T00:17:05.992359,0.0,0.0,1978,0
TG023501_P0,SCI_CAL_SubArray,1803,1803,2020-04-21T00:17:46.189374,0.0,0.0,1979,0
TG023501_P0,SCI_CAL_SubArray,1804,1804,2020-04-21T00:18:26.385351,0.0,0.0,1980,0
TG023501_P0,SCI_CAL_SubArray,1805,1805,2020-04-21T00:19:06.582336,0.0,0.0,1981,0
TG023501_P0,SCI_CAL_SubArray,1806,1806,2020-04-21T00:19:46.778344,0.0,0.0,1982,0
TG023501_P0,SCI_CAL_SubArray,1807,1807,2020-04-21T00:20:26.975328,0.0,0.0,1983,0
TG023501_P0,SCI_CAL_SubArray,1808,1808,2020-04-21T00:21:07.171336,0.0,0.0,1984,0
TG023501_P0,SCI_CAL_SubArray,1809,1809,2020-04-21T00:21:47.368320,0.0,0.0,1985,0
TG023501_P0,SCI_CAL_SubArray,1810,1810,2020-04-21T00:22:27.565305,0.0,0.0,1986,0
TG023501_P0,SCI_CAL_SubArray,1811,1811,2020-04-21T00:23:07.761312,0.0,0.0,1987,0
TG023501_P0,SCI_CAL_SubArray,1812,1812,2020-04-21T00:23:47.958297,0.0,0.0,1988,0
TG023501_P0,SCI_CAL_SubArray,1813,1813,2020-04-21T00:24:28.154305,0.0,0.0,1989,0
TG023501_P0,SCI_CAL_SubArray,1814,1814,2020-04-21T00:25:08.351289,0.0,0.0,1990,0
TG023501_P0,SCI_CAL_SubArray,1815,1815,2020-04-21T00:25:48.547266,0.0,0.0,1991,0
TG023501_P0,SCI_CAL_SubArray,1816,1816,2020-04-21T00:26:28.744281,0.0,0.0,1992,0
TG023501_P0,SCI_CAL_SubArray,1817,1817,2020-04-21T00:27:08.941265,0.0,0.0,1993,0
TG023501_P0,SCI_CAL_SubArray,1818,1818,2020-04-21T00:27:49.137273,0.0,0.0,1994,0
