id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG010801_P0,SCI_CAL_SubArray,11,11,2020-05-04T02:32:12.341436,0.0,0.0,12,0
TG010801_P0,SCI_CAL_SubArray,12,12,2020-05-04T02:33:12.369441,0.0,0.0,13,0
TG010801_P0,SCI_CAL_SubArray,13,13,2020-05-04T02:34:12.397416,0.0,0.0,14,0
TG010801_P0,SCI_CAL_SubArray,14,14,2020-05-04T02:35:12.425421,0.0,0.0,15,0
TG010801_P0,SCI_CAL_SubArray,15,15,2020-05-04T02:36:12.452420,0.0,0.0,16,0
TG010801_P0,SCI_CAL_SubArray,16,16,2020-05-04T02:37:12.480394,0.0,0.0,17,0
TG010801_P0,SCI_CAL_SubArray,17,17,2020-05-04T02:38:12.508400,0.0,0.0,18,0
TG010801_P0,SCI_CAL_SubArray,18,18,2020-05-04T02:39:12.536374,0.0,0.0,19,0
TG010801_P0,SCI_CAL_SubArray,19,19,2020-05-04T02:40:12.563373,0.0,0.0,20,0
TG010801_P0,SCI_CAL_SubArray,20,20,2020-05-04T02:41:12.591347,0.0,0.0,21,0
TG010801_P0,SCI_CAL_SubArray,21,21,2020-05-04T02:42:12.619353,0.0,0.0,22,0
TG010801_P0,SCI_CAL_SubArray,22,22,2020-05-04T02:43:12.647327,0.0,0.0,23,0
TG010801_P0,SCI_CAL_SubArray,23,23,2020-05-04T02:44:12.674325,0.0,0.0,24,0
TG010801_P0,SCI_CAL_SubArray,24,24,2020-05-04T02:45:12.702331,0.0,0.0,25,0
TG010801_P0,SCI_CAL_SubArray,25,25,2020-05-04T02:46:12.730305,0.0,0.0,26,0
TG010801_P0,SCI_CAL_SubArray,26,26,2020-05-04T02:47:12.758311,0.0,0.0,27,0
TG010801_P0,SCI_CAL_SubArray,27,27,2020-05-04T02:48:12.785279,0.0,0.0,28,0
TG010801_P0,SCI_CAL_SubArray,28,28,2020-05-04T02:49:12.813284,0.0,0.0,29,0
TG010801_P0,SCI_CAL_SubArray,29,29,2020-05-04T02:50:12.841259,0.0,0.0,30,0
TG010801_P0,SCI_CAL_SubArray,30,30,2020-05-04T02:51:12.869264,0.0,0.0,31,0
TG010801_P0,SCI_CAL_SubArray,31,31,2020-05-04T02:52:12.896262,0.0,0.0,32,0
TG010801_P0,SCI_CAL_SubArray,32,32,2020-05-04T02:53:12.924237,0.0,0.0,33,0
TG010801_P0,SCI_CAL_SubArray,33,33,2020-05-04T02:54:12.952242,0.0,0.0,34,0
TG010801_P0,SCI_CAL_SubArray,34,34,2020-05-04T02:55:12.980217,0.0,0.0,35,0
TG010801_P0,SCI_CAL_SubArray,35,35,2020-05-04T02:56:13.007215,0.0,0.0,36,0
TG010801_P0,SCI_CAL_SubArray,36,36,2020-05-04T02:57:13.035190,0.0,0.0,37,0
TG010801_P0,SCI_CAL_SubArray,37,37,2020-05-04T02:58:13.063195,0.0,0.0,38,0
TG010801_P0,SCI_CAL_SubArray,38,38,2020-05-04T02:59:13.091170,0.0,0.0,39,0
TG010801_P0,SCI_CAL_SubArray,39,39,2020-05-04T03:00:13.118168,0.0,0.0,40,0
TG010801_P0,SCI_COR_SubArray,11,11,2020-05-04T02:32:12.341436,0.0,0.0,12,0
TG010801_P0,SCI_COR_SubArray,12,12,2020-05-04T02:33:12.369441,0.0,0.0,13,0
TG010801_P0,SCI_COR_SubArray,13,13,2020-05-04T02:34:12.397416,0.0,0.0,14,0
TG010801_P0,SCI_COR_SubArray,14,14,2020-05-04T02:35:12.425421,0.0,0.0,15,0
TG010801_P0,SCI_COR_SubArray,15,15,2020-05-04T02:36:12.452420,0.0,0.0,16,0
TG010801_P0,SCI_COR_SubArray,16,16,2020-05-04T02:37:12.480394,0.0,0.0,17,0
TG010801_P0,SCI_COR_SubArray,17,17,2020-05-04T02:38:12.508400,0.0,0.0,18,0
TG010801_P0,SCI_COR_SubArray,18,18,2020-05-04T02:39:12.536374,0.0,0.0,19,0
TG010801_P0,SCI_COR_SubArray,19,19,2020-05-04T02:40:12.563373,0.0,0.0,20,0
TG010801_P0,SCI_COR_SubArray,20,20,2020-05-04T02:41:12.591347,0.0,0.0,21,0
TG010801_P0,SCI_COR_SubArray,21,21,2020-05-04T02:42:12.619353,0.0,0.0,22,0
TG010801_P0,SCI_COR_SubArray,22,22,2020-05-04T02:43:12.647327,0.0,0.0,23,0
TG010801_P0,SCI_COR_SubArray,23,23,2020-05-04T02:44:12.674325,0.0,0.0,24,0
TG010801_P0,SCI_COR_SubArray,24,24,2020-05-04T02:45:12.702331,0.0,0.0,25,0
TG010801_P0,SCI_COR_SubArray,25,25,2020-05-04T02:46:12.730305,0.0,0.0,26,0
TG010801_P0,SCI_COR_SubArray,26,26,2020-05-04T02:47:12.758311,0.0,0.0,27,0
TG010801_P0,SCI_COR_SubArray,27,27,2020-05-04T02:48:12.785279,0.0,0.0,28,0
TG010801_P0,SCI_COR_SubArray,28,28,2020-05-04T02:49:12.813284,0.0,0.0,29,0
TG010801_P0,SCI_COR_SubArray,29,29,2020-05-04T02:50:12.841259,0.0,0.0,30,0
TG010801_P0,SCI_COR_SubArray,30,30,2020-05-04T02:51:12.869264,0.0,0.0,31,0
TG010801_P0,SCI_COR_SubArray,31,31,2020-05-04T02:52:12.896262,0.0,0.0,32,0
TG010801_P0,SCI_COR_SubArray,32,32,2020-05-04T02:53:12.924237,0.0,0.0,33,0
TG010801_P0,SCI_COR_SubArray,33,33,2020-05-04T02:54:12.952242,0.0,0.0,34,0
TG010801_P0,SCI_COR_SubArray,34,34,2020-05-04T02:55:12.980217,0.0,0.0,35,0
TG010801_P0,SCI_COR_SubArray,35,35,2020-05-04T02:56:13.007215,0.0,0.0,36,0
TG010801_P0,SCI_COR_SubArray,36,36,2020-05-04T02:57:13.035190,0.0,0.0,37,0
TG010801_P0,SCI_COR_SubArray,37,37,2020-05-04T02:58:13.063195,0.0,0.0,38,0
TG010801_P0,SCI_COR_SubArray,38,38,2020-05-04T02:59:13.091170,0.0,0.0,39,0
TG010801_P0,SCI_COR_SubArray,39,39,2020-05-04T03:00:13.118168,0.0,0.0,40,0
TG010801_N0,SCI_CAL_SubArray,10,10,2020-05-04T02:31:12.314468,0.0,0.0,11,0
TG010801_N0,SCI_CAL_SubArray,11,11,2020-05-04T02:32:12.341436,0.0,0.0,12,0
TG010801_N0,SCI_CAL_SubArray,12,12,2020-05-04T02:33:12.369441,0.0,0.0,13,0
TG010801_N0,SCI_CAL_SubArray,13,13,2020-05-04T02:34:12.397416,0.0,0.0,14,0
TG010801_N0,SCI_CAL_SubArray,14,14,2020-05-04T02:35:12.425421,0.0,0.0,15,0
TG010801_N0,SCI_CAL_SubArray,15,15,2020-05-04T02:36:12.452420,0.0,0.0,16,0
TG010801_N0,SCI_CAL_SubArray,16,16,2020-05-04T02:37:12.480394,0.0,0.0,17,0
TG010801_N0,SCI_CAL_SubArray,17,17,2020-05-04T02:38:12.508400,0.0,0.0,18,0
TG010801_N0,SCI_CAL_SubArray,18,18,2020-05-04T02:39:12.536374,0.0,0.0,19,0
TG010801_N0,SCI_CAL_SubArray,19,19,2020-05-04T02:40:12.563373,0.0,0.0,20,0
TG010801_N0,SCI_CAL_SubArray,20,20,2020-05-04T02:41:12.591347,0.0,0.0,21,0
