id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG032401_P0,SCI_CAL_SubArray,61,61,2020-08-16T23:26:28.670117,0.0,0.0,62,0
TG032401_P0,SCI_CAL_SubArray,62,62,2020-08-16T23:27:11.009101,0.0,0.0,63,0
TG032401_P0,SCI_CAL_SubArray,63,63,2020-08-16T23:27:53.349092,0.0,0.0,64,0
TG032401_P0,SCI_CAL_SubArray,64,64,2020-08-16T23:28:35.688106,0.0,0.0,65,0
TG032401_P0,SCI_CAL_SubArray,65,65,2020-08-16T23:29:18.027090,0.0,0.0,66,0
TG032401_P0,SCI_CAL_SubArray,66,66,2020-08-16T23:30:00.367080,0.0,0.0,67,0
TG032401_P0,SCI_CAL_SubArray,67,67,2020-08-16T23:30:42.706064,0.0,0.0,68,0
TG032401_P0,SCI_CAL_SubArray,68,68,2020-08-16T23:31:25.045079,0.0,0.0,69,0
TG032401_P0,SCI_CAL_SubArray,69,69,2020-08-16T23:32:07.385069,0.0,0.0,70,0
TG032401_P0,SCI_CAL_SubArray,70,70,2020-08-16T23:32:49.724053,0.0,0.0,71,0
TG032401_P0,SCI_CAL_SubArray,71,71,2020-08-16T23:33:32.063067,0.0,0.0,72,0
TG032401_P0,SCI_CAL_SubArray,72,72,2020-08-16T23:34:14.403058,0.0,0.0,73,0
TG032401_P0,SCI_CAL_SubArray,73,73,2020-08-16T23:34:56.742042,0.0,0.0,74,0
TG032401_P0,SCI_CAL_SubArray,74,74,2020-08-16T23:35:39.081544,0.0,0.0,75,0
TG032401_P0,SCI_CAL_SubArray,75,75,2020-08-16T23:36:21.420558,0.0,0.0,76,0
TG032401_P0,SCI_CAL_SubArray,76,76,2020-08-16T23:37:03.760030,0.0,0.0,77,0
TG032401_P0,SCI_CAL_SubArray,77,77,2020-08-16T23:37:46.099533,0.0,0.0,78,0
TG032401_P0,SCI_CAL_SubArray,78,78,2020-08-16T23:38:28.438517,0.0,0.0,79,0
TG032401_P0,SCI_CAL_SubArray,79,79,2020-08-16T23:39:10.778019,0.0,0.0,80,0
TG032401_P0,SCI_CAL_SubArray,80,80,2020-08-16T23:39:53.117522,0.0,0.0,81,0
TG032401_P0,SCI_CAL_SubArray,81,81,2020-08-16T23:40:35.456505,0.0,0.0,82,0
TG032401_P0,SCI_CAL_SubArray,82,82,2020-08-16T23:41:17.796008,0.0,0.0,83,0
TG032401_P0,SCI_CAL_SubArray,83,83,2020-08-16T23:42:00.135510,0.0,0.0,84,0
TG032401_P0,SCI_CAL_SubArray,84,84,2020-08-16T23:42:42.474494,0.0,0.0,85,0
TG032401_P0,SCI_CAL_SubArray,85,85,2020-08-16T23:43:24.813966,0.0,0.0,86,0
TG032401_P0,SCI_CAL_SubArray,86,86,2020-08-16T23:44:07.153468,0.0,0.0,87,0
TG032401_P0,SCI_CAL_SubArray,87,87,2020-08-16T23:44:49.492483,0.0,0.0,88,0
TG032401_P0,SCI_CAL_SubArray,88,88,2020-08-16T23:45:31.831954,0.0,0.0,89,0
TG032401_P0,SCI_CAL_SubArray,89,89,2020-08-16T23:46:14.171457,0.0,0.0,90,0
TG032401_P0,SCI_COR_SubArray,61,61,2020-08-16T23:26:28.670117,0.0,0.0,62,0
TG032401_P0,SCI_COR_SubArray,62,62,2020-08-16T23:27:11.009101,0.0,0.0,63,0
TG032401_P0,SCI_COR_SubArray,63,63,2020-08-16T23:27:53.349092,0.0,0.0,64,0
TG032401_P0,SCI_COR_SubArray,64,64,2020-08-16T23:28:35.688106,0.0,0.0,65,0
TG032401_P0,SCI_COR_SubArray,65,65,2020-08-16T23:29:18.027090,0.0,0.0,66,0
TG032401_P0,SCI_COR_SubArray,66,66,2020-08-16T23:30:00.367080,0.0,0.0,67,0
TG032401_P0,SCI_COR_SubArray,67,67,2020-08-16T23:30:42.706064,0.0,0.0,68,0
TG032401_P0,SCI_COR_SubArray,68,68,2020-08-16T23:31:25.045079,0.0,0.0,69,0
TG032401_P0,SCI_COR_SubArray,69,69,2020-08-16T23:32:07.385069,0.0,0.0,70,0
TG032401_P0,SCI_COR_SubArray,70,70,2020-08-16T23:32:49.724053,0.0,0.0,71,0
TG032401_P0,SCI_COR_SubArray,71,71,2020-08-16T23:33:32.063067,0.0,0.0,72,0
TG032401_P0,SCI_COR_SubArray,72,72,2020-08-16T23:34:14.403058,0.0,0.0,73,0
TG032401_P0,SCI_COR_SubArray,73,73,2020-08-16T23:34:56.742042,0.0,0.0,74,0
TG032401_P0,SCI_COR_SubArray,74,74,2020-08-16T23:35:39.081544,0.0,0.0,75,0
TG032401_P0,SCI_COR_SubArray,75,75,2020-08-16T23:36:21.420558,0.0,0.0,76,0
TG032401_P0,SCI_COR_SubArray,76,76,2020-08-16T23:37:03.760030,0.0,0.0,77,0
TG032401_P0,SCI_COR_SubArray,77,77,2020-08-16T23:37:46.099533,0.0,0.0,78,0
TG032401_P0,SCI_COR_SubArray,78,78,2020-08-16T23:38:28.438517,0.0,0.0,79,0
TG032401_P0,SCI_COR_SubArray,79,79,2020-08-16T23:39:10.778019,0.0,0.0,80,0
TG032401_P0,SCI_COR_SubArray,80,80,2020-08-16T23:39:53.117522,0.0,0.0,81,0
TG032401_P0,SCI_COR_SubArray,81,81,2020-08-16T23:40:35.456505,0.0,0.0,82,0
TG032401_P0,SCI_COR_SubArray,82,82,2020-08-16T23:41:17.796008,0.0,0.0,83,0
TG032401_P0,SCI_COR_SubArray,83,83,2020-08-16T23:42:00.135510,0.0,0.0,84,0
TG032401_P0,SCI_COR_SubArray,84,84,2020-08-16T23:42:42.474494,0.0,0.0,85,0
TG032401_P0,SCI_COR_SubArray,85,85,2020-08-16T23:43:24.813966,0.0,0.0,86,0
TG032401_P0,SCI_COR_SubArray,86,86,2020-08-16T23:44:07.153468,0.0,0.0,87,0
TG032401_P0,SCI_COR_SubArray,87,87,2020-08-16T23:44:49.492483,0.0,0.0,88,0
TG032401_P0,SCI_COR_SubArray,88,88,2020-08-16T23:45:31.831954,0.0,0.0,89,0
TG032401_P0,SCI_COR_SubArray,89,89,2020-08-16T23:46:14.171457,0.0,0.0,90,0
