id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG000201_P0,SCI_CAL_SubArray,507,507,2020-03-19T11:37:44.302748,0.0,0.0,937,0
TG000201_P0,SCI_CAL_SubArray,508,508,2020-03-19T11:38:18.073220,0.0,0.0,938,0
TG000201_P0,SCI_CAL_SubArray,509,509,2020-03-19T11:38:51.843235,0.0,0.0,939,0
TG000201_P0,SCI_CAL_SubArray,510,510,2020-03-19T11:39:25.613738,0.0,0.0,940,0
TG000201_P0,SCI_CAL_SubArray,511,511,2020-03-19T11:39:59.384698,0.0,0.0,941,0
TG000201_P0,SCI_CAL_SubArray,512,512,2020-03-19T11:40:33.154712,0.0,0.0,942,0
TG000201_P0,SCI_CAL_SubArray,513,513,2020-03-19T11:41:06.925704,0.0,0.0,943,0
TG000201_P0,SCI_CAL_SubArray,514,514,2020-03-19T11:41:40.696206,0.0,0.0,944,0
TG000201_P0,SCI_CAL_SubArray,515,515,2020-03-19T11:42:14.466190,0.0,0.0,945,0
TG000201_P0,SCI_CAL_SubArray,516,516,2020-03-19T11:42:48.236693,0.0,0.0,946,0
TG000201_P0,SCI_CAL_SubArray,517,517,2020-03-19T11:43:22.007196,0.0,0.0,947,0
TG000201_P0,SCI_CAL_SubArray,518,518,2020-03-19T11:43:55.777180,0.0,0.0,948,0
TG000201_P0,SCI_CAL_SubArray,519,519,2020-03-19T11:44:29.548171,0.0,0.0,949,0
TG000201_P0,SCI_CAL_SubArray,520,520,2020-03-19T11:45:03.318673,0.0,0.0,950,0
TG000201_P0,SCI_CAL_SubArray,521,521,2020-03-19T11:45:37.089176,0.0,0.0,951,0
TG000201_P0,SCI_CAL_SubArray,522,522,2020-03-19T11:46:10.859648,0.0,0.0,952,0
TG000201_P0,SCI_CAL_SubArray,523,523,2020-03-19T11:46:44.630151,0.0,0.0,953,0
TG000201_P0,SCI_CAL_SubArray,524,524,2020-03-19T11:47:18.400135,0.0,0.0,954,0
TG000201_P0,SCI_CAL_SubArray,525,525,2020-03-19T11:47:52.170150,0.0,0.0,955,0
TG000201_P0,SCI_CAL_SubArray,526,526,2020-03-19T11:48:25.941141,0.0,0.0,956,0
TG000201_P0,SCI_CAL_SubArray,527,527,2020-03-19T11:48:59.711125,0.0,0.0,957,0
TG000201_P0,SCI_CAL_SubArray,528,528,2020-03-19T11:49:33.481627,0.0,0.0,958,0
TG000201_P0,SCI_CAL_SubArray,529,529,2020-03-19T11:50:07.253137,0.0,0.0,959,0
TG000201_P0,SCI_CAL_SubArray,530,530,2020-03-19T11:50:41.023121,0.0,0.0,960,0
TG000201_P0,SCI_CAL_SubArray,531,531,2020-03-19T11:51:14.793105,0.0,0.0,961,0
TG000201_P0,SCI_CAL_SubArray,532,532,2020-03-19T11:51:48.564096,0.0,0.0,962,0
TG000201_P0,SCI_CAL_SubArray,533,533,2020-03-19T11:52:22.334111,0.0,0.0,963,0
TG000201_P0,SCI_CAL_SubArray,534,534,2020-03-19T11:52:56.104095,0.0,0.0,964,0
TG000201_P0,SCI_CAL_SubArray,535,535,2020-03-19T11:53:29.875086,0.0,0.0,965,0
TG000201_P0,SCI_COR_SubArray,507,507,2020-03-19T11:37:44.302748,0.0,0.0,937,0
TG000201_P0,SCI_COR_SubArray,508,508,2020-03-19T11:38:18.073220,0.0,0.0,938,0
TG000201_P0,SCI_COR_SubArray,509,509,2020-03-19T11:38:51.843235,0.0,0.0,939,0
TG000201_P0,SCI_COR_SubArray,510,510,2020-03-19T11:39:25.613738,0.0,0.0,940,0
TG000201_P0,SCI_COR_SubArray,511,511,2020-03-19T11:39:59.384698,0.0,0.0,941,0
TG000201_P0,SCI_COR_SubArray,512,512,2020-03-19T11:40:33.154712,0.0,0.0,942,0
TG000201_P0,SCI_COR_SubArray,513,513,2020-03-19T11:41:06.925704,0.0,0.0,943,0
TG000201_P0,SCI_COR_SubArray,514,514,2020-03-19T11:41:40.696206,0.0,0.0,944,0
TG000201_P0,SCI_COR_SubArray,515,515,2020-03-19T11:42:14.466190,0.0,0.0,945,0
TG000201_P0,SCI_COR_SubArray,516,516,2020-03-19T11:42:48.236693,0.0,0.0,946,0
TG000201_P0,SCI_COR_SubArray,517,517,2020-03-19T11:43:22.007196,0.0,0.0,947,0
