id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG000901_N0,SCI_CAL_SubArray,32,32,2020-04-04T16:05:23.481469,0.0,0.0,79,0
TG000901_N0,SCI_CAL_SubArray,33,33,2020-04-04T16:06:08.321458,0.0,0.0,80,0
TG000901_N0,SCI_CAL_SubArray,34,34,2020-04-04T16:06:53.162455,0.0,0.0,81,0
TG000901_N0,SCI_CAL_SubArray,35,35,2020-04-04T16:07:38.002445,0.0,0.0,82,0
TG000901_N0,SCI_CAL_SubArray,36,36,2020-04-04T16:08:22.842953,0.0,0.0,83,0
TG000901_N0,SCI_CAL_SubArray,37,37,2020-04-04T16:09:07.682943,0.0,0.0,84,0
TG000901_N0,SCI_CAL_SubArray,38,38,2020-04-04T16:09:52.523421,0.0,0.0,85,0
TG000901_N0,SCI_CAL_SubArray,39,39,2020-04-04T16:10:37.363410,0.0,0.0,86,0
TG000901_N0,SCI_CAL_SubArray,40,40,2020-04-04T16:11:22.204407,0.0,0.0,87,0
TG000901_N0,SCI_CAL_SubArray,41,41,2020-04-04T16:12:07.044396,0.0,0.0,88,0
TG000901_N0,SCI_CAL_SubArray,42,42,2020-04-04T16:12:51.884905,0.0,0.0,89,0
TG000901_N0,SCI_CAL_SubArray,43,43,2020-04-04T16:13:36.724895,0.0,0.0,90,0
TG000901_N0,SCI_CAL_SubArray,44,44,2020-04-04T16:14:21.565372,0.0,0.0,91,0
TG000901_N0,SCI_CAL_SubArray,45,45,2020-04-04T16:15:06.405362,0.0,0.0,92,0
TG000901_N0,SCI_CAL_SubArray,46,46,2020-04-04T16:15:51.246359,0.0,0.0,93,0
TG000901_N0,SCI_CAL_SubArray,47,47,2020-04-04T16:16:36.086348,0.0,0.0,94,0
TG000901_N0,SCI_CAL_SubArray,48,48,2020-04-04T16:17:20.926857,0.0,0.0,95,0
TG000901_N0,SCI_CAL_SubArray,49,49,2020-04-04T16:18:05.766328,0.0,0.0,96,0
TG000901_N0,SCI_CAL_SubArray,50,50,2020-04-04T16:18:50.607324,0.0,0.0,97,0
TG000901_N0,SCI_CAL_SubArray,51,51,2020-04-04T16:19:35.447344,0.0,0.0,98,0
TG000901_N0,SCI_CAL_SubArray,52,52,2020-04-04T16:20:20.288311,0.0,0.0,99,0
TG000901_N0,SCI_CAL_SubArray,53,53,2020-04-04T16:21:05.129307,0.0,0.0,100,0
TG000901_N0,SCI_CAL_SubArray,54,54,2020-04-04T16:21:49.968808,0.0,0.0,101,0
TG000901_N0,SCI_CAL_SubArray,55,55,2020-04-04T16:22:34.809317,0.0,0.0,102,0
TG000901_N0,SCI_CAL_SubArray,56,56,2020-04-04T16:23:19.649307,0.0,0.0,103,0
TG000901_N0,SCI_CAL_SubArray,57,57,2020-04-04T16:24:04.490303,0.0,0.0,104,0
TG000901_N0,SCI_CAL_SubArray,58,58,2020-04-04T16:24:49.330293,0.0,0.0,105,0
