id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG000101_N0,SCI_CAL_SubArray,303,303,2020-03-11T00:10:41.663204,0.0,0.0,517,0
TG000101_N0,SCI_CAL_SubArray,304,304,2020-03-11T00:11:23.690206,0.0,0.0,518,0
TG000101_N0,SCI_CAL_SubArray,305,305,2020-03-11T00:12:05.716200,0.0,0.0,519,0
TG000101_N0,SCI_CAL_SubArray,306,306,2020-03-11T00:12:47.743172,0.0,0.0,520,0
TG000101_N0,SCI_CAL_SubArray,307,307,2020-03-11T00:13:29.770173,0.0,0.0,521,0
TG000101_N0,SCI_CAL_SubArray,308,308,2020-03-11T00:14:11.796168,0.0,0.0,522,0
TG000101_N0,SCI_CAL_SubArray,309,309,2020-03-11T00:14:53.823170,0.0,0.0,523,0
TG000101_N0,SCI_CAL_SubArray,310,310,2020-03-11T00:15:35.850172,0.0,0.0,524,0
TG000101_N0,SCI_CAL_SubArray,311,311,2020-03-11T00:16:17.876166,0.0,0.0,525,0
TG000101_N0,SCI_CAL_SubArray,312,312,2020-03-11T00:16:59.903137,0.0,0.0,526,0
TG000101_N0,SCI_CAL_SubArray,313,313,2020-03-11T00:17:41.929132,0.0,0.0,527,0
TG000101_N0,SCI_CAL_SubArray,314,314,2020-03-11T00:18:23.956134,0.0,0.0,528,0
TG000101_N0,SCI_CAL_SubArray,315,315,2020-03-11T00:19:05.983136,0.0,0.0,529,0
TG000101_N0,SCI_CAL_SubArray,316,316,2020-03-11T00:19:48.009130,0.0,0.0,530,0
TG000101_N0,SCI_CAL_SubArray,317,317,2020-03-11T00:20:30.036102,0.0,0.0,531,0
TG000101_N0,SCI_CAL_SubArray,318,318,2020-03-11T00:21:12.063103,0.0,0.0,532,0
TG000101_N0,SCI_CAL_SubArray,319,319,2020-03-11T00:21:54.089098,0.0,0.0,533,0
TG000101_N0,SCI_CAL_SubArray,320,320,2020-03-11T00:22:36.116100,0.0,0.0,534,0
TG000101_N0,SCI_CAL_SubArray,321,321,2020-03-11T00:23:18.142094,0.0,0.0,535,0
TG000101_N0,SCI_CAL_SubArray,322,322,2020-03-11T00:24:00.169096,0.0,0.0,536,0
TG000101_N0,SCI_CAL_SubArray,323,323,2020-03-11T00:24:42.196067,0.0,0.0,537,0
TG000101_N0,SCI_CAL_SubArray,324,324,2020-03-11T00:25:24.222062,0.0,0.0,538,0
TG000101_N0,SCI_CAL_SubArray,325,325,2020-03-11T00:26:06.249064,0.0,0.0,539,0
TG000101_N0,SCI_CAL_SubArray,326,326,2020-03-11T00:26:48.276066,0.0,0.0,540,0
TG000101_N0,SCI_CAL_SubArray,327,327,2020-03-11T00:27:30.302060,0.0,0.0,541,0
TG000101_N0,SCI_CAL_SubArray,328,328,2020-03-11T00:28:12.329031,0.0,0.0,542,0
TG000101_N0,SCI_CAL_SubArray,329,329,2020-03-11T00:28:54.355026,0.0,0.0,543,0
TG000101_N0,SCI_CAL_SubArray,330,330,2020-03-11T00:29:36.382028,0.0,0.0,544,0
TG000101_N0,SCI_CAL_SubArray,331,331,2020-03-11T00:30:18.409030,0.0,0.0,545,0
TG000101_N0,SCI_CAL_SubArray,332,332,2020-03-11T00:31:00.435024,0.0,0.0,546,0
TG000101_N0,SCI_CAL_SubArray,333,333,2020-03-11T00:31:42.462026,0.0,0.0,547,0
TG000101_N0,SCI_COR_SubArray,303,303,2020-03-11T00:10:41.663204,0.0,0.0,517,0
TG000101_N0,SCI_COR_SubArray,304,304,2020-03-11T00:11:23.690206,0.0,0.0,518,0
TG000101_N0,SCI_COR_SubArray,305,305,2020-03-11T00:12:05.716200,0.0,0.0,519,0
TG000101_N0,SCI_COR_SubArray,306,306,2020-03-11T00:12:47.743172,0.0,0.0,520,0
TG000101_N0,SCI_COR_SubArray,307,307,2020-03-11T00:13:29.770173,0.0,0.0,521,0
TG000101_N0,SCI_COR_SubArray,308,308,2020-03-11T00:14:11.796168,0.0,0.0,522,0
TG000101_N0,SCI_COR_SubArray,309,309,2020-03-11T00:14:53.823170,0.0,0.0,523,0
