id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG000302_P0,SCI_CAL_SubArray,19,19,2020-03-28T00:14:07.544739,0.0,0.0,20,0
TG000302_P0,SCI_CAL_SubArray,20,20,2020-03-28T00:15:07.571738,0.0,0.0,21,0
TG000302_P0,SCI_CAL_SubArray,21,21,2020-03-28T00:16:07.599714,0.0,0.0,22,0
TG000302_P0,SCI_CAL_SubArray,22,22,2020-03-28T00:17:07.627720,0.0,0.0,23,0
TG000302_P0,SCI_CAL_SubArray,23,23,2020-03-28T00:18:07.655696,0.0,0.0,24,0
TG000302_P0,SCI_CAL_SubArray,24,24,2020-03-28T00:19:07.683702,0.0,0.0,25,0
TG000302_P0,SCI_CAL_SubArray,25,25,2020-03-28T00:20:07.710701,0.0,0.0,26,0
TG000302_P0,SCI_CAL_SubArray,26,26,2020-03-28T00:21:07.738677,0.0,0.0,27,0
TG000302_P0,SCI_CAL_SubArray,27,27,2020-03-28T00:22:07.766683,0.0,0.0,28,0
TG000302_P0,SCI_CAL_SubArray,28,28,2020-03-28T00:23:07.794658,0.0,0.0,29,0
TG000302_P0,SCI_CAL_SubArray,29,29,2020-03-28T00:24:07.822665,0.0,0.0,30,0
TG000302_P0,SCI_CAL_SubArray,30,30,2020-03-28T00:25:07.849633,0.0,0.0,31,0
TG000302_P0,SCI_CAL_SubArray,31,31,2020-03-28T00:26:07.877639,0.0,0.0,32,0
TG000302_P0,SCI_CAL_SubArray,32,32,2020-03-28T00:27:07.905615,0.0,0.0,33,0
TG000302_P0,SCI_CAL_SubArray,33,33,2020-03-28T00:28:07.933621,0.0,0.0,34,0
TG000302_P0,SCI_CAL_SubArray,34,34,2020-03-28T00:29:07.961597,0.0,0.0,35,0
TG000302_P0,SCI_CAL_SubArray,35,35,2020-03-28T00:30:07.988596,0.0,0.0,36,0
TG000302_P0,SCI_CAL_SubArray,36,36,2020-03-28T00:31:08.016602,0.0,0.0,37,0
TG000302_P0,SCI_CAL_SubArray,37,37,2020-03-28T00:32:08.044577,0.0,0.0,38,0
TG000302_P0,SCI_CAL_SubArray,38,38,2020-03-28T00:33:08.072583,0.0,0.0,39,0
TG000302_P0,SCI_CAL_SubArray,39,39,2020-03-28T00:34:08.100559,0.0,0.0,40,0
TG000302_P0,SCI_CAL_SubArray,40,40,2020-03-28T00:35:08.127558,0.0,0.0,41,0
TG000302_P0,SCI_CAL_SubArray,41,41,2020-03-28T00:36:08.155534,0.0,0.0,42,0
TG000302_P0,SCI_CAL_SubArray,42,42,2020-03-28T00:37:08.183540,0.0,0.0,43,0
TG000302_P0,SCI_CAL_SubArray,43,43,2020-03-28T00:38:08.211515,0.0,0.0,44,0
TG000302_P0,SCI_CAL_SubArray,44,44,2020-03-28T00:39:08.239522,0.0,0.0,45,0
TG000302_P0,SCI_CAL_SubArray,45,45,2020-03-28T00:40:08.266521,0.0,0.0,46,0
TG000302_P0,SCI_CAL_SubArray,46,46,2020-03-28T00:41:08.294496,0.0,0.0,47,0
TG000302_P0,SCI_CAL_SubArray,47,47,2020-03-28T00:42:08.322502,0.0,0.0,48,0
TG000302_P0,SCI_COR_SubArray,19,19,2020-03-28T00:14:07.544739,0.0,0.0,20,0
TG000302_P0,SCI_COR_SubArray,20,20,2020-03-28T00:15:07.571738,0.0,0.0,21,0
TG000302_P0,SCI_COR_SubArray,21,21,2020-03-28T00:16:07.599714,0.0,0.0,22,0
TG000302_P0,SCI_COR_SubArray,22,22,2020-03-28T00:17:07.627720,0.0,0.0,23,0
TG000302_P0,SCI_COR_SubArray,23,23,2020-03-28T00:18:07.655696,0.0,0.0,24,0
TG000302_P0,SCI_COR_SubArray,24,24,2020-03-28T00:19:07.683702,0.0,0.0,25,0
TG000302_P0,SCI_COR_SubArray,25,25,2020-03-28T00:20:07.710701,0.0,0.0,26,0
TG000302_P0,SCI_COR_SubArray,26,26,2020-03-28T00:21:07.738677,0.0,0.0,27,0
TG000302_P0,SCI_COR_SubArray,27,27,2020-03-28T00:22:07.766683,0.0,0.0,28,0
TG000302_P0,SCI_COR_SubArray,28,28,2020-03-28T00:23:07.794658,0.0,0.0,29,0
TG000302_P0,SCI_COR_SubArray,29,29,2020-03-28T00:24:07.822665,0.0,0.0,30,0
TG000302_P0,SCI_COR_SubArray,30,30,2020-03-28T00:25:07.849633,0.0,0.0,31,0
TG000302_P0,SCI_COR_SubArray,31,31,2020-03-28T00:26:07.877639,0.0,0.0,32,0
TG000302_P0,SCI_COR_SubArray,32,32,2020-03-28T00:27:07.905615,0.0,0.0,33,0
TG000302_P0,SCI_COR_SubArray,33,33,2020-03-28T00:28:07.933621,0.0,0.0,34,0
TG000302_P0,SCI_COR_SubArray,34,34,2020-03-28T00:29:07.961597,0.0,0.0,35,0
TG000302_P0,SCI_COR_SubArray,35,35,2020-03-28T00:30:07.988596,0.0,0.0,36,0
TG000302_P0,SCI_COR_SubArray,36,36,2020-03-28T00:31:08.016602,0.0,0.0,37,0
TG000302_P0,SCI_COR_SubArray,37,37,2020-03-28T00:32:08.044577,0.0,0.0,38,0
TG000302_P0,SCI_COR_SubArray,38,38,2020-03-28T00:33:08.072583,0.0,0.0,39,0
TG000302_P0,SCI_COR_SubArray,39,39,2020-03-28T00:34:08.100559,0.0,0.0,40,0
TG000302_P0,SCI_COR_SubArray,40,40,2020-03-28T00:35:08.127558,0.0,0.0,41,0
TG000302_P0,SCI_COR_SubArray,41,41,2020-03-28T00:36:08.155534,0.0,0.0,42,0
TG000302_P0,SCI_COR_SubArray,42,42,2020-03-28T00:37:08.183540,0.0,0.0,43,0
TG000302_P0,SCI_COR_SubArray,43,43,2020-03-28T00:38:08.211515,0.0,0.0,44,0
TG000302_P0,SCI_COR_SubArray,44,44,2020-03-28T00:39:08.239522,0.0,0.0,45,0
TG000302_P0,SCI_COR_SubArray,45,45,2020-03-28T00:40:08.266521,0.0,0.0,46,0
TG000302_P0,SCI_COR_SubArray,46,46,2020-03-28T00:41:08.294496,0.0,0.0,47,0
TG000302_P0,SCI_COR_SubArray,47,47,2020-03-28T00:42:08.322502,0.0,0.0,48,0
