id,kind,l2_row,image_row,utc,mjd_delta_seconds,bjd_delta_seconds,ce_counter,ce_integrity
TG008601_N0,SCI_CAL_SubArray,17,17,2020-04-18T06:59:31.208999,0.0,0.0,28,0
TG008601_N0,SCI_CAL_SubArray,18,18,2020-04-18T07:00:31.237004,0.0,0.0,29,0
TG008601_N0,SCI_CAL_SubArray,19,19,2020-04-18T07:01:31.263972,0.0,0.0,30,0
TG008601_N0,SCI_CAL_SubArray,20,20,2020-04-18T07:02:31.291977,0.0,0.0,31,0
TG008601_N0,SCI_CAL_SubArray,21,21,2020-04-18T07:03:31.319952,0.0,0.0,32,0
TG008601_N0,SCI_CAL_SubArray,22,22,2020-04-18T07:04:31.347957,0.0,0.0,33,0
TG008601_N0,SCI_CAL_SubArray,23,23,2020-04-18T07:05:31.374955,0.0,0.0,34,0
TG008601_N0,SCI_CAL_SubArray,24,24,2020-04-18T07:06:31.402930,0.0,0.0,35,0
TG008601_N0,SCI_CAL_SubArray,25,25,2020-04-18T07:07:31.430935,0.0,0.0,36,0
TG008601_N0,SCI_CAL_SubArray,26,26,2020-04-18T07:08:31.458910,0.0,0.0,37,0
TG008601_N0,SCI_CAL_SubArray,27,27,2020-04-18T07:09:31.486915,0.0,0.0,38,0
TG008601_N0,SCI_CAL_SubArray,28,28,2020-04-18T07:10:31.513883,0.0,0.0,39,0
TG008601_N0,SCI_CAL_SubArray,29,29,2020-04-18T07:11:31.541888,0.0,0.0,40,0
TG008601_N0,SCI_CAL_SubArray,30,30,2020-04-18T07:12:31.569863,0.0,0.0,41,0
TG008601_N0,SCI_CAL_SubArray,31,31,2020-04-18T07:13:31.597868,0.0,0.0,42,0
TG008601_N0,SCI_CAL_SubArray,32,32,2020-04-18T07:14:31.625843,0.0,0.0,43,0
TG008601_N0,SCI_CAL_SubArray,33,33,2020-04-18T07:15:31.653848,0.0,0.0,44,0
TG008601_N0,SCI_CAL_SubArray,34,34,2020-04-18T07:16:31.681823,0.0,0.0,45,0
TG008601_N0,SCI_CAL_SubArray,35,35,2020-04-18T07:17:31.709828,0.0,0.0,46,0
TG008601_N0,SCI_CAL_SubArray,36,36,2020-04-18T07:18:31.737803,0.0,0.0,47,0
TG008601_N0,SCI_CAL_SubArray,37,37,2020-04-18T07:19:31.764801,0.0,0.0,48,0
TG008601_N0,SCI_CAL_SubArray,38,38,2020-04-18T07:20:31.792807,0.0,0.0,49,0
TG008601_N0,SCI_CAL_SubArray,39,39,2020-04-18T07:21:31.820781,0.0,0.0,50,0
TG008601_N0,SCI_CAL_SubArray,40,40,2020-04-18T07:22:31.848787,0.0,0.0,51,0
TG008601_N0,SCI_CAL_SubArray,41,41,2020-04-18T07:23:31.875754,0.0,0.0,52,0
TG008601_N0,SCI_CAL_SubArray,42,42,2020-04-18T07:24:31.903759,0.0,0.0,53,0
TG008601_N0,SCI_CAL_SubArray,43,43,2020-04-18T07:25:31.931734,0.0,0.0,54,0
TG008601_N0,SCI_CAL_SubArray,44,44,2020-04-18T07:26:31.959740,0.0,0.0,55,0
TG008601_N0,SCI_CAL_SubArray,45,45,2020-04-18T07:27:31.987714,0.0,0.0,56,0
TG008601_N0,SCI_COR_SubArray,17,17,2020-04-18T06:59:31.208999,0.0,0.0,28,0
TG008601_N0,SCI_COR_SubArray,18,18,2020-04-18T07:00:31.237004,0.0,0.0,29,0
TG008601_N0,SCI_COR_SubArray,19,19,2020-04-18T07:01:31.263972,0.0,0.0,30,0
TG008601_N0,SCI_COR_SubArray,20,20,2020-04-18T07:02:31.291977,0.0,0.0,31,0
TG008601_N0,SCI_COR_SubArray,21,21,2020-04-18T07:03:31.319952,0.0,0.0,32,0
TG008601_N0,SCI_COR_SubArray,22,22,2020-04-18T07:04:31.347957,0.0,0.0,33,0
TG008601_N0,SCI_COR_SubArray,23,23,2020-04-18T07:05:31.374955,0.0,0.0,34,0
TG008601_N0,SCI_COR_SubArray,24,24,2020-04-18T07:06:31.402930,0.0,0.0,35,0
TG008601_N0,SCI_COR_SubArray,25,25,2020-04-18T07:07:31.430935,0.0,0.0,36,0
