milestone,preregistration_name,cohort_membership,search_summary,completeness,threshold_snr,spectral_widths_channels,complete_1412_cluster_count,above_threshold_1412_cluster_count,physically_vetoed_1412_cluster_count,candidate_positive,candidate_frequencies_mhz,snr_8_recovered,snr_8_trials,snr_8_recovery_fraction,snr_12_recovered,snr_12_trials,snr_12_recovery_fraction,snr_16_recovered,snr_16_trials,snr_16_recovery_fraction,snr_20_recovered,snr_20_trials,snr_20_recovery_fraction,snr_24_recovered,snr_24_trials,snr_24_recovery_fraction,snr_32_recovered,snr_32_trials,snr_32_recovery_fraction,snr_40_recovered,snr_40_trials,snr_40_recovery_fraction
14,GJ 687 b Milestone 14 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33,results_m14/search_summary.json,results_m14/completeness.json,9.290201187134,1;3;5;9,7,2,2,false,,1,32,0.031250000000,19,32,0.593750000000,31,32,0.968750000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
15,GJ 581 b Milestone 15 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33,results_m15/search_summary.json,results_m15/completeness.json,11.792826652527,1;3;5;9,6,0,0,false,,0,32,0.000000000000,0,32,0.000000000000,7,32,0.218750000000,10,32,0.312500000000,12,32,0.375000000000,16,32,0.500000000000,16,32,0.500000000000
16,HD 219134 h Milestone 16 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33,results_m16/search_summary.json,results_m16/completeness.json,7.428847789764,1;3;5;9,7,1,0,true,1412.485745176673,15,32,0.468750000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
17,GJ 849 b Milestone 17 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33,results_m34_legacy_complete_audit/m17/search_summary.json,results_m34_legacy_complete_audit/m17/completeness.json,8.912419319153,1;3;5;9,1,0,0,false,,0,32,0.000000000000,24,32,0.750000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
18,GJ 649 b Milestone 18 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33,results_m18/search_summary.json,results_m18/completeness.json,7.288439750671,1;3;5;9,3,0,0,false,,4,32,0.125000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
19,47 UMa d Milestone 19 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33,results_m19/search_summary.json,results_m19/completeness.json,7.698724746704,1;3;5;9,0,0,0,false,,9,32,0.281250000000,28,32,0.875000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
20,rho CrB c Milestone 20 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33,results_m20/search_summary.json,results_m20/completeness.json,8.091331481934,1;3;5;9,5,2,2,false,,9,32,0.281250000000,29,32,0.906250000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
21,HD 154345 b Milestone 21 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33,results_m34_legacy_complete_audit/m21/search_summary.json,results_m34_legacy_complete_audit/m21/completeness.json,9.555616378784,1;3;5;9,43,42,42,false,,0,32,0.000000000000,21,32,0.656250000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
22,HD 87883 b Milestone 22 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33,results_m22/search_summary.json,results_m22/completeness.json,8.364510536194,1;3;5;9,3,0,0,false,,4,32,0.125000000000,26,32,0.812500000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
23,HD 33564 b Milestone 23 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m23_complete_audit/search_summary.json,results_m23_complete_audit/completeness.json,7.945475101471,1;3;5;9,7,0,0,false,,6,32,0.187500000000,29,32,0.906250000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
24,16 Cyg B b Milestone 24 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m24/search_summary.json,results_m24/completeness.json,40.339649200439,1;3;5;9,3,0,0,false,,0,32,0.000000000000,0,32,0.000000000000,0,32,0.000000000000,0,32,0.000000000000,0,32,0.000000000000,0,32,0.000000000000,5,32,0.156250000000
25,HD 164922 b Milestone 25 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m25/search_summary.json,results_m25/completeness.json,8.008045196533,1;3;5;9,0,0,0,false,,3,32,0.093750000000,31,32,0.968750000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
26,HD 19994 b Milestone 26 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m26/search_summary.json,results_m26/completeness.json,12.732759475708,1;3;5;9,0,0,0,false,,0,32,0.000000000000,1,32,0.031250000000,17,32,0.531250000000,31,32,0.968750000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
27,HD 127506 b Milestone 27 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m27/search_summary.json,results_m27/completeness.json,8.748773574829,1;3;5;9,8,2,2,false,,2,32,0.062500000000,20,32,0.625000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
28,psi1 Dra B b Milestone 28 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m28/search_summary.json,results_m28/completeness.json,10.565890312195,1;3;5;9,46,0,0,false,,0,32,0.000000000000,12,32,0.375000000000,29,32,0.906250000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
29,HD 11964 b Milestone 29 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m29/search_summary.json,results_m29/completeness.json,7.567686557770,1;3;5;9,19,0,0,false,,4,32,0.125000000000,31,32,0.968750000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
30,bet UMi b Milestone 30 held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m30/search_summary.json,results_m30/completeness.json,11.218682289124,1;3;5;9,1,0,0,false,,0,32,0.000000000000,10,32,0.312500000000,29,32,0.906250000000,31,32,0.968750000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
31,HD 192263 b Milestone 31 higher-smearing held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m31/search_summary.json,results_m31/completeness.json,13.200340270996,1;3;5;9;17;33,14,0,0,false,,0,32,0.000000000000,0,32,0.000000000000,3,32,0.093750000000,7,32,0.218750000000,23,32,0.718750000000,32,32,1.000000000000,32,32,1.000000000000
32,HD 99492 b Milestone 32 higher-smearing held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m32/search_summary.json,results_m32/completeness.json,10.982738494873,1;3;5;9;17;33,30,0,0,false,,0,32,0.000000000000,2,32,0.062500000000,18,32,0.562500000000,28,32,0.875000000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
33,HD 3651 b Milestone 33 higher-smearing held-out detector-v0.5 validation,all_heldout_v0p5_m14_m33;fully_retained_m23_m33,results_m33/search_summary.json,results_m33/completeness.json,10.329352378845,1;3;5;9;17;33,64,0,0,false,,0,32,0.000000000000,11,32,0.343750000000,22,32,0.687500000000,30,32,0.937500000000,32,32,1.000000000000,32,32,1.000000000000,32,32,1.000000000000
