epoch1_on: eight native caches and all cropped baseline scores exact
epoch2_on: eight native caches and all cropped baseline scores exact
epoch3_on: eight native caches and all cropped baseline scores exact
1/32 case324: {'neighbor9': 2, 'off_window': 0, 'remaining_aggregate': 2, 'combined': 0}
2/32 case042: {'neighbor9': 2, 'off_window': 2, 'remaining_aggregate': 2, 'combined': 2}
3/32 case043: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
4/32 case044: {'neighbor9': 2, 'off_window': 2, 'remaining_aggregate': 2, 'combined': 2}
5/32 case048: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
6/32 case324.off-only: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
7/32 case336: {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0}
8/32 case162: {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1}
9/32 case163: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
10/32 case164: {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1}
11/32 case168: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
12/32 case336.off-only: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
13/32 case346: {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0}
14/32 case262: {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1}
15/32 case263: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
16/32 case264: {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1}
17/32 case268: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
18/32 case346.off-only: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
19/32 case171: {'neighbor9': 221, 'off_window': 221, 'remaining_aggregate': 0, 'combined': 0}
20/32 case170: {'neighbor9': 55, 'off_window': 55, 'remaining_aggregate': 54, 'combined': 54}
21/32 case176: {'neighbor9': 26, 'off_window': 26, 'remaining_aggregate': 0, 'combined': 0}
22/32 case260: {'neighbor9': 3, 'off_window': 3, 'remaining_aggregate': 0, 'combined': 0}
23/32 case261: {'neighbor9': 29, 'off_window': 29, 'remaining_aggregate': 0, 'combined': 0}
24/32 case265: {'neighbor9': 3, 'off_window': 3, 'remaining_aggregate': 0, 'combined': 0}
25/32 case266: {'neighbor9': 5, 'off_window': 5, 'remaining_aggregate': 0, 'combined': 0}
26/32 case281: {'neighbor9': 411, 'off_window': 411, 'remaining_aggregate': 34, 'combined': 34}
27/32 case280: {'neighbor9': 47, 'off_window': 47, 'remaining_aggregate': 40, 'combined': 40}
28/32 case286: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
29/32 case006: {'neighbor9': 111, 'off_window': 111, 'remaining_aggregate': 12, 'combined': 12}
30/32 case016: {'neighbor9': 116, 'off_window': 116, 'remaining_aggregate': 3, 'combined': 3}
31/32 case096: {'neighbor9': 192, 'off_window': 192, 'remaining_aggregate': 19, 'combined': 19}
32/32 baseline: {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0}
M43AA COMPLETE
