epoch1_on: eight native caches and all cropped baseline scores exact
epoch2_on: eight native caches and all cropped baseline scores exact
epoch3_on: eight native caches and all cropped baseline scores exact
1/149 baseline {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
2/149 z006 {'neighbor9': 111, 'off_window': 111, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 111, 'centered_receiver_off_match': 111, 'centered_receiver_off_match_aggregate': 12}
3/149 z016 {'neighbor9': 116, 'off_window': 116, 'remaining_aggregate': 3, 'combined': 3, 'centered_receiver': 116, 'centered_receiver_off_match': 116, 'centered_receiver_off_match_aggregate': 3}
4/149 z038 {'neighbor9': 6, 'off_window': 0, 'remaining_aggregate': 6, 'combined': 0, 'centered_receiver': 6, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
5/149 z042 {'neighbor9': 2, 'off_window': 2, 'remaining_aggregate': 2, 'combined': 2, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2}
6/149 z043 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
7/149 z044 {'neighbor9': 2, 'off_window': 2, 'remaining_aggregate': 2, 'combined': 2, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2}
8/149 z048 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
9/149 z078 {'neighbor9': 14, 'off_window': 0, 'remaining_aggregate': 14, 'combined': 0, 'centered_receiver': 14, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
10/149 z096 {'neighbor9': 192, 'off_window': 192, 'remaining_aggregate': 19, 'combined': 19, 'centered_receiver': 210, 'centered_receiver_off_match': 210, 'centered_receiver_off_match_aggregate': 30}
11/149 z138 {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1}
12/149 z148 {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
13/149 z158 {'neighbor9': 24, 'off_window': 0, 'remaining_aggregate': 24, 'combined': 0, 'centered_receiver': 24, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
