epoch1_on: eight native caches and all cropped baseline scores exact
epoch2_on: eight native caches and all cropped baseline scores exact
epoch3_on: eight native caches and all cropped baseline scores exact
1/150 baseline {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
2/150 ab_z006 {'neighbor9': 111, 'off_window': 111, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 111, 'centered_receiver_off_match': 111, 'centered_receiver_off_match_aggregate': 12, 'geometry_receiver': 111, 'geometry_receiver_off_aggregate': 12, 'geometry_receiver_aligned_off_aggregate': 12}
3/150 ab_z016 {'neighbor9': 116, 'off_window': 116, 'remaining_aggregate': 3, 'combined': 3, 'centered_receiver': 116, 'centered_receiver_off_match': 116, 'centered_receiver_off_match_aggregate': 3, 'geometry_receiver': 116, 'geometry_receiver_off_aggregate': 3, 'geometry_receiver_aligned_off_aggregate': 3}
4/150 ab_z038 {'neighbor9': 6, 'off_window': 0, 'remaining_aggregate': 6, 'combined': 0, 'centered_receiver': 6, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 6, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
5/150 ab_z042 {'neighbor9': 2, 'off_window': 2, 'remaining_aggregate': 2, 'combined': 2, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2, 'geometry_receiver': 2, 'geometry_receiver_off_aggregate': 2, 'geometry_receiver_aligned_off_aggregate': 2}
6/150 ab_z043 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
7/150 ab_z044 {'neighbor9': 2, 'off_window': 2, 'remaining_aggregate': 2, 'combined': 2, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2, 'geometry_receiver': 2, 'geometry_receiver_off_aggregate': 2, 'geometry_receiver_aligned_off_aggregate': 2}
8/150 ab_z048 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
9/150 ab_z078 {'neighbor9': 14, 'off_window': 0, 'remaining_aggregate': 14, 'combined': 0, 'centered_receiver': 14, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 14, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
10/150 ab_z096 {'neighbor9': 192, 'off_window': 192, 'remaining_aggregate': 19, 'combined': 19, 'centered_receiver': 210, 'centered_receiver_off_match': 210, 'centered_receiver_off_match_aggregate': 30, 'geometry_receiver': 192, 'geometry_receiver_off_aggregate': 19, 'geometry_receiver_aligned_off_aggregate': 19}
11/150 ab_z138 {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
12/150 ab_z148 {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 1}
13/150 ab_z158 {'neighbor9': 24, 'off_window': 0, 'remaining_aggregate': 24, 'combined': 0, 'centered_receiver': 24, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 24, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 24}
14/150 ab_z162 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 1, 'geometry_receiver_aligned_off_aggregate': 1}
15/150 ab_z163 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
16/150 ab_z164 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 1, 'geometry_receiver_aligned_off_aggregate': 1}
17/150 ab_z168 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
18/150 ab_z170 {'neighbor9': 55, 'off_window': 55, 'remaining_aggregate': 54, 'combined': 54, 'centered_receiver': 55, 'centered_receiver_off_match': 55, 'centered_receiver_off_match_aggregate': 54, 'geometry_receiver': 55, 'geometry_receiver_off_aggregate': 54, 'geometry_receiver_aligned_off_aggregate': 54}
19/150 ab_z171 {'neighbor9': 221, 'off_window': 221, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 308, 'centered_receiver_off_match': 308, 'centered_receiver_off_match_aggregate': 43, 'geometry_receiver': 226, 'geometry_receiver_off_aggregate': 5, 'geometry_receiver_aligned_off_aggregate': 5}
20/150 ab_z176 {'neighbor9': 26, 'off_window': 26, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 26, 'centered_receiver_off_match': 26, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 26, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
21/150 ab_z198 {'neighbor9': 5, 'off_window': 0, 'remaining_aggregate': 5, 'combined': 0, 'centered_receiver': 5, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 5, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 5}
22/150 ab_z260 {'neighbor9': 3, 'off_window': 3, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 3, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
23/150 ab_z261 {'neighbor9': 29, 'off_window': 29, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 29, 'centered_receiver_off_match': 29, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 29, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
24/150 ab_z262 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 1, 'geometry_receiver_aligned_off_aggregate': 1}
25/150 ab_z263 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
26/150 ab_z264 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 1, 'geometry_receiver_aligned_off_aggregate': 1}
27/150 ab_z265 {'neighbor9': 3, 'off_window': 3, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 3, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
