truth_ordinal,truth_id,active_epochs,width_channels,legacy_candidate_cells,active_candidate_cells,category
0,c8b740db7c301e068774c44d6e1ee14af8c6afe3957989c07735b0f550f2eb41,0+1,1,0,5,newly-supported
1,27c0ff7ddc442314197a3795ec2e6c82934c2b8854c31635608d569ced590308,0+1,3,1,9,legacy-supported
2,3106f8bf72c1f7140cdd9ea9681c39149b305ab93fd3ba3286725de33508c511,0+1,5,0,0,unsupported
3,4d1f0c05f34235153e5b850cb2856ee63d06975d4eb21533ecac5c9beed16912,0+1,9,9,9,legacy-supported
4,67012809d9227fc8aa8bed37d1b9743d74d0de3b7a1883222d0650e1969accfa,0+1,17,0,0,unsupported
5,2323ae03589ef3de36fae9fbcf5267098224b1ff804bd17e4aa5a2e2f8fef983,0+1,33,0,0,unsupported
6,8815f2bf5a638c8354a88eb102aa940af8d5ad2722c03d6c0d91447d0ca75b02,0+1,65,0,0,unsupported
7,3530047b0f297b5221b8b350b993170dfc84c502968e08b4ac65864a8933f360,0+1,129,0,0,unsupported
8,72b6992b7b3ae7b6710ec207de63682b3fc34a7c81cd96d5e97955e575a743e5,0+2,1,12,13,legacy-supported
9,c1d1d101b182bef21998df9f9cc00f1eaca9e2e35f88d0fc166a708e8dcda08d,0+2,3,0,0,unsupported
10,253fcbb81d841235fb30635666546083df43703fca5a08fe7a9dc0ebbbd6c9ce,0+2,5,0,0,unsupported
11,1f2b9fd8f76ca3eeb55499e14e4af242bbe5c44256756d9122678b5dbed80dff,0+2,9,0,0,unsupported
12,691f1b093ffa3268df47ccce93f4c2e69141c544fc75f45d3833c03bc2a2070c,0+2,17,4,4,legacy-supported
13,f56f32e3e8d59aeec8098bf11588ec9b8ed945b4614e1d7bea36086fbb5f3624,0+2,33,0,0,unsupported
14,f276d82bcf7f379ec4326f4cfdd9f2bc8a2d803f3610a46e832468d7473bc106,0+2,65,0,0,unsupported
15,479480af33c568e607ecf90230ebd0e07674fa6b46d78e4013cbd31f3af47eee,0+2,129,2,2,legacy-supported
