truth_ordinal,truth_id,active_epochs,cause,best_template,best_continuous_residual_hz,best_continuous_carrier_hz
0,c8b740db7c301e068774c44d6e1ee14af8c6afe3957989c07735b0f550f2eb41,0+1,supported,4,13.360872539225966,1412879419.0602283
1,27c0ff7ddc442314197a3795ec2e6c82934c2b8854c31635608d569ced590308,0+1,supported,8,6.942796300514601,1411589649.744419
2,3106f8bf72c1f7140cdd9ea9681c39149b305ab93fd3ba3286725de33508c511,0+1,track-shape-incompatible,0,34.52743094856851,1411974499.831844
3,4d1f0c05f34235153e5b850cb2856ee63d06975d4eb21533ecac5c9beed16912,0+1,supported,0,7.352496948791668,1412192134.901732
4,67012809d9227fc8aa8bed37d1b9743d74d0de3b7a1883222d0650e1969accfa,0+1,track-shape-incompatible,3,23.925337235908955,1412505855.5048382
5,2323ae03589ef3de36fae9fbcf5267098224b1ff804bd17e4aa5a2e2f8fef983,0+1,track-shape-incompatible,7,23.896817757282406,1412780612.399948
6,8815f2bf5a638c8354a88eb102aa940af8d5ad2722c03d6c0d91447d0ca75b02,0+1,track-shape-incompatible,5,24.924287432339042,1411611387.3711183
7,3530047b0f297b5221b8b350b993170dfc84c502968e08b4ac65864a8933f360,0+1,track-shape-incompatible,15,33.83173100545537,1411882073.0369172
8,72b6992b7b3ae7b6710ec207de63682b3fc34a7c81cd96d5e97955e575a743e5,0+2,supported,17,1.7087913405848667,1412192724.7750986
9,c1d1d101b182bef21998df9f9cc00f1eaca9e2e35f88d0fc166a708e8dcda08d,0+2,track-shape-incompatible,17,31.631786279613152,1412509636.8482006
10,253fcbb81d841235fb30635666546083df43703fca5a08fe7a9dc0ebbbd6c9ce,0+2,track-shape-incompatible,21,37.875915577984415,1412829655.267513
11,1f2b9fd8f76ca3eeb55499e14e4af242bbe5c44256756d9122678b5dbed80dff,0+2,track-shape-incompatible,17,61.16613562195562,1413162054.8852782
12,691f1b093ffa3268df47ccce93f4c2e69141c544fc75f45d3833c03bc2a2070c,0+2,supported,17,14.786696585128084,1411967949.9809449
13,f56f32e3e8d59aeec8098bf11588ec9b8ed945b4614e1d7bea36086fbb5f3624,0+2,track-shape-incompatible,17,56.73203218355775,1412288941.4811661
14,f276d82bcf7f379ec4326f4cfdd9f2bc8a2d803f3610a46e832468d7473bc106,0+2,track-shape-incompatible,9,40.12429731362499,1412583776.6753802
15,479480af33c568e607ecf90230ebd0e07674fa6b46d78e4013cbd31f3af47eee,0+2,supported,7,16.893684846465476,1412876280.934354
16,d08d826fab861c3ccd5da17ffaf3ce4daafcf2dc4cb9c521c6037b2c430f1277,1+2,track-shape-incompatible,3,43.05587786540855,1413175004.6066124
17,c530054584eaba3f8a60927ed4f37f2e34a9447a6f00d19d55c5fa594bcfea38,1+2,track-shape-incompatible,5,34.36089952173643,1411983324.315271
18,ea4a37bdb55ee408131802dbeb4176e899d6c0ea9b5a428bead01079fdd96401,1+2,supported,1,2.843315865728073,1412306696.044833
19,4c355242e97d863af790a5d1ef0810addc3c7b7e15b6f51ed8c0c5cc80e8c0bd,1+2,track-shape-incompatible,1,27.834436286706477,1412577177.210938
20,cfd2fd07096c330a6c6bb6ff1aca9cddba23d91ed207d44f8cdee072611a3484,1+2,track-shape-incompatible,2,40.59015996614471,1412903991.9249
21,fc9ae2e89d689c6e30037b53f67a8388ec3089327911a48eab1e61bbde6c3828,1+2,track-shape-incompatible,6,21.53563318680972,1413206058.9536939
22,da5fc5e6be52019ee4ba9e04f6fad34a1a6756be2116f73c9480f39e52a11cb1,1+2,track-shape-incompatible,2,32.21351684012916,1411920085.4007077
23,b2074ebd2f8925b1bc88d0ce448698d2bb72b786ade1dea2beaeb5489014cf2a,1+2,supported,14,15.607343670679256,1412285893.875516
24,2a19b2653ecb873c5eb24c78ffb2eb10d52389d2f608cedd7030e4a48ec54fb4,0+1+2,supported,8,13.425869385246187,1412525477.5489511
25,7d4b3dd70f1ea3b47f41d2ea9e84a302ebe257e21d40660bccd060cfa377d115,0+1+2,track-shape-incompatible,12,54.95192956761457,1412816829.066268
26,79108155d8643046279f483e50b55e1b9315f039b5239004e8bded71698b6ea5,0+1+2,supported,22,18.44357056147419,1413121751.962506
