window,scan,uncovered_templates_width129,lower_headroom_channels,upper_headroom_channels,factor_min,factor_max,factor_rows_below_legacy_range,duplicate_pairs_in_minimum_factor_row,proposed_minimum_filter_margin,cache_payload_bytes_per_width
m37_1400p5,epoch1_on,754,-77453,-134602,0.9996718307359274,1.0004432917696824,10464,245,2,72247872
m37_1400p5,epoch1_off,753,-77322,-134454,0.9996720964665637,1.000442992041952,10479,245,133,72230016
m37_1400p5,epoch2_on,752,-77185,-134301,0.9996723729723093,1.0004426825170278,10492,245,270,72211456
m37_1400p5,epoch2_off,752,-77043,-134143,0.9996726602541015,1.0004423632116364,10468,245,412,72192256
m37_1400p5,epoch3_on,751,-76896,-133980,0.9996729583124588,1.0004420341423421,10450,245,559,72172416
m37_1400p5,epoch3_off,753,-76744,-133813,0.9996732671471847,1.000441695325843,10447,244,711,72152000
m37_1406p5,epoch1_on,756,-78147,-135539,0.9996718307359274,1.0004432917696824,10464,245,2,72352320
m37_1406p5,epoch1_off,756,-78015,-135391,0.9996720964665637,1.000442992041952,10479,245,134,72334400
m37_1406p5,epoch2_on,756,-77878,-135237,0.9996723729723093,1.0004426825170278,10492,245,271,72315776
m37_1406p5,epoch2_off,755,-77736,-135078,0.9996726602541015,1.0004423632116364,10468,245,413,72296512
m37_1406p5,epoch3_on,754,-77588,-134915,0.9996729583124588,1.0004420341423421,10450,245,561,72276608
m37_1406p5,epoch3_off,756,-77435,-134747,0.9996732671471847,1.000441695325843,10447,244,714,72256064
m37_1412p5,epoch1_on,761,-78841,-136478,0.9996718307359274,1.0004432917696824,10464,245,2,72456832
m37_1412p5,epoch1_off,760,-78709,-136328,0.9996720964665637,1.000442992041952,10479,245,134,72438784
m37_1412p5,epoch2_on,761,-78571,-136174,0.9996723729723093,1.0004426825170278,10492,245,272,72420096
m37_1412p5,epoch2_off,759,-78428,-136015,0.9996726602541015,1.0004423632116364,10468,245,415,72400768
m37_1412p5,epoch3_on,758,-78280,-135851,0.9996729583124588,1.0004420341423421,10450,244,563,72380800
m37_1412p5,epoch3_off,758,-78126,-135682,0.9996732671471847,1.000441695325843,10447,244,717,72360128
m37_1418p5,epoch1_on,763,-79536,-137416,0.9996718307359274,1.0004432917696824,10464,245,2,72561280
m37_1418p5,epoch1_off,765,-79403,-137266,0.9996720964665637,1.000442992041952,10479,245,135,72543168
m37_1418p5,epoch2_on,763,-79265,-137111,0.9996723729723093,1.0004426825170278,10492,245,273,72524416
m37_1418p5,epoch2_off,763,-79121,-136951,0.9996726602541015,1.0004423632116364,10468,245,417,72504960
m37_1418p5,epoch3_on,761,-78972,-136787,0.9996729583124588,1.0004420341423421,10450,245,566,72484928
m37_1418p5,epoch3_off,761,-78818,-136617,0.9996732671471847,1.000441695325843,10447,244,720,72464192
m37_1425p0,epoch1_on,768,-80288,-138432,0.9996718307359274,1.0004432917696824,10464,246,2,72674432
m37_1425p0,epoch1_off,767,-80155,-138281,0.9996720964665637,1.000442992041952,10479,245,135,72656256
m37_1425p0,epoch2_on,769,-80016,-138126,0.9996723729723093,1.0004426825170278,10492,245,274,72637440
m37_1425p0,epoch2_off,766,-79872,-137965,0.9996726602541015,1.0004423632116364,10468,245,418,72617920
m37_1425p0,epoch3_on,765,-79722,-137800,0.9996729583124588,1.0004420341423421,10450,245,568,72597760
m37_1425p0,epoch3_off,765,-79567,-137629,0.9996732671471847,1.000441695325843,10447,244,723,72576896
