epoch1_on 32/1701 templates exact; 5.9s
epoch1_on 64/1701 templates exact; 10.4s
epoch1_on 96/1701 templates exact; 15.1s
epoch1_on 128/1701 templates exact; 19.6s
epoch1_on 160/1701 templates exact; 24.4s
epoch1_on 192/1701 templates exact; 29.0s
epoch1_on 224/1701 templates exact; 33.9s
epoch1_on 256/1701 templates exact; 38.9s
epoch1_on 288/1701 templates exact; 44.2s
epoch1_on 320/1701 templates exact; 49.3s
epoch1_on 352/1701 templates exact; 54.0s
epoch1_on 384/1701 templates exact; 58.9s
epoch1_on 416/1701 templates exact; 63.4s
epoch1_on 448/1701 templates exact; 67.9s
epoch1_on 480/1701 templates exact; 73.0s
epoch1_on 512/1701 templates exact; 77.7s
epoch1_on 544/1701 templates exact; 82.5s
epoch1_on 576/1701 templates exact; 87.3s
epoch1_on 608/1701 templates exact; 92.0s
epoch1_on 640/1701 templates exact; 96.8s
epoch1_on 672/1701 templates exact; 101.8s
epoch1_on 704/1701 templates exact; 106.6s
epoch1_on 736/1701 templates exact; 111.3s
epoch1_on 768/1701 templates exact; 116.5s
epoch1_on 800/1701 templates exact; 121.5s
epoch1_on 832/1701 templates exact; 126.1s
epoch1_on 864/1701 templates exact; 131.0s
epoch1_on 896/1701 templates exact; 135.8s
epoch1_on 928/1701 templates exact; 140.6s
epoch1_on 960/1701 templates exact; 145.3s
epoch1_on 992/1701 templates exact; 150.2s
epoch1_on 1024/1701 templates exact; 155.1s
epoch1_on 1056/1701 templates exact; 160.2s
epoch1_on 1088/1701 templates exact; 165.1s
epoch1_on 1120/1701 templates exact; 170.1s
epoch1_on 1152/1701 templates exact; 174.9s
epoch1_on 1184/1701 templates exact; 179.6s
epoch1_on 1216/1701 templates exact; 184.6s
epoch1_on 1248/1701 templates exact; 189.2s
epoch1_on 1280/1701 templates exact; 194.0s
epoch1_on 1312/1701 templates exact; 199.2s
epoch1_on 1344/1701 templates exact; 204.2s
epoch1_on 1376/1701 templates exact; 209.8s
epoch1_on 1408/1701 templates exact; 215.1s
epoch1_on 1440/1701 templates exact; 219.8s
epoch1_on 1472/1701 templates exact; 224.6s
epoch1_on 1504/1701 templates exact; 229.7s
epoch1_on 1536/1701 templates exact; 234.4s
epoch1_on 1568/1701 templates exact; 239.4s
epoch1_on 1600/1701 templates exact; 244.0s
epoch1_on 1632/1701 templates exact; 248.9s
epoch1_on 1664/1701 templates exact; 254.3s
epoch1_on 1696/1701 templates exact; 259.2s
epoch1_on 1701/1701 templates exact; 260.0s
epoch1_off 32/1701 templates exact; 265.8s
epoch1_off 64/1701 templates exact; 270.5s
epoch1_off 96/1701 templates exact; 275.3s
epoch1_off 128/1701 templates exact; 280.4s
epoch1_off 160/1701 templates exact; 285.5s
epoch1_off 192/1701 templates exact; 290.4s
epoch1_off 224/1701 templates exact; 295.3s
epoch1_off 256/1701 templates exact; 299.9s
epoch1_off 288/1701 templates exact; 304.4s
epoch1_off 320/1701 templates exact; 309.2s
epoch1_off 352/1701 templates exact; 313.9s
epoch1_off 384/1701 templates exact; 319.2s
epoch1_off 416/1701 templates exact; 324.3s
epoch1_off 448/1701 templates exact; 329.5s
epoch1_off 480/1701 templates exact; 334.9s
epoch1_off 512/1701 templates exact; 340.1s
epoch1_off 544/1701 templates exact; 345.0s
epoch1_off 576/1701 templates exact; 349.8s
epoch1_off 608/1701 templates exact; 354.4s
epoch1_off 640/1701 templates exact; 359.1s
epoch1_off 672/1701 templates exact; 364.4s
epoch1_off 704/1701 templates exact; 369.6s
epoch1_off 736/1701 templates exact; 374.7s
epoch1_off 768/1701 templates exact; 380.0s
epoch1_off 800/1701 templates exact; 384.7s
epoch1_off 832/1701 templates exact; 389.3s
epoch1_off 864/1701 templates exact; 394.1s
epoch1_off 896/1701 templates exact; 399.2s
epoch1_off 928/1701 templates exact; 404.3s
epoch1_off 960/1701 templates exact; 409.7s
epoch1_off 992/1701 templates exact; 414.5s
epoch1_off 1024/1701 templates exact; 419.4s
epoch1_off 1056/1701 templates exact; 424.0s
epoch1_off 1088/1701 templates exact; 428.7s
epoch1_off 1120/1701 templates exact; 433.1s
epoch1_off 1152/1701 templates exact; 437.8s
epoch1_off 1184/1701 templates exact; 443.4s
epoch1_off 1216/1701 templates exact; 449.0s
epoch1_off 1248/1701 templates exact; 454.0s
epoch1_off 1280/1701 templates exact; 459.1s
epoch1_off 1312/1701 templates exact; 464.4s
epoch1_off 1344/1701 templates exact; 469.5s
epoch1_off 1376/1701 templates exact; 474.7s
epoch1_off 1408/1701 templates exact; 479.4s
epoch1_off 1440/1701 templates exact; 483.9s
epoch1_off 1472/1701 templates exact; 488.6s
epoch1_off 1504/1701 templates exact; 493.4s
epoch1_off 1536/1701 templates exact; 498.6s
epoch1_off 1568/1701 templates exact; 503.7s
epoch1_off 1600/1701 templates exact; 509.1s
epoch1_off 1632/1701 templates exact; 514.0s
epoch1_off 1664/1701 templates exact; 519.4s
epoch1_off 1696/1701 templates exact; 524.0s
epoch1_off 1701/1701 templates exact; 525.1s
{
  "result_sha256": "3e9ef51c89d4b8d97a4223adb2bcdd3adc0cedbbac08fe3506a546949b098179",
  "summary": {
    "telescope_sources": 2,
    "native_width": 1,
    "templates_per_source": 1701,
    "support_cells_per_template": 747793,
    "complete_template_vectors": 3402,
    "batches_completed": 108,
    "score_cells_compared": 2543991786
  }
}
