epoch1_on: complete original source receipt reproduced
epoch1_on: width 1, 2/16 original arrays exact
epoch1_on: width 3, 4/16 original arrays exact
epoch1_on: width 5, 6/16 original arrays exact
epoch1_on: width 9, 8/16 original arrays exact
epoch1_off: complete original source receipt reproduced
epoch1_on: width 17, 10/16 original arrays exact
epoch1_on: width 33, 12/16 original arrays exact
epoch1_off: width 1, 2/16 original arrays exact
epoch1_on: width 65, 14/16 original arrays exact
epoch1_off: width 3, 4/16 original arrays exact
epoch1_on: width 129, 16/16 original arrays exact
epoch1_off: width 5, 6/16 original arrays exact
epoch1_off: width 9, 8/16 original arrays exact
epoch1_off: width 17, 10/16 original arrays exact
epoch1_off: width 33, 12/16 original arrays exact
epoch1_off: width 65, 14/16 original arrays exact
epoch1_off: width 129, 16/16 original arrays exact
epoch2_on: complete original source receipt reproduced
epoch2_on: width 1, 2/16 original arrays exact
epoch2_on: width 3, 4/16 original arrays exact
epoch2_on: width 5, 6/16 original arrays exact
epoch2_on: width 9, 8/16 original arrays exact
epoch2_on: width 17, 10/16 original arrays exact
epoch2_on: width 33, 12/16 original arrays exact
epoch2_on: width 65, 14/16 original arrays exact
epoch2_on: width 129, 16/16 original arrays exact
epoch2_off: complete original source receipt reproduced
epoch2_off: width 1, 2/16 original arrays exact
epoch2_off: width 3, 4/16 original arrays exact
epoch2_off: width 5, 6/16 original arrays exact
epoch2_off: width 9, 8/16 original arrays exact
epoch2_off: width 17, 10/16 original arrays exact
epoch2_off: width 33, 12/16 original arrays exact
epoch2_off: width 65, 14/16 original arrays exact
epoch2_off: width 129, 16/16 original arrays exact
epoch3_on: complete original source receipt reproduced
epoch3_on: width 1, 2/16 original arrays exact
epoch3_on: width 3, 4/16 original arrays exact
epoch3_on: width 5, 6/16 original arrays exact
epoch3_on: width 9, 8/16 original arrays exact
epoch3_on: width 17, 10/16 original arrays exact
epoch3_on: width 33, 12/16 original arrays exact
epoch3_on: width 65, 14/16 original arrays exact
epoch3_on: width 129, 16/16 original arrays exact
epoch3_off: complete original source receipt reproduced
epoch3_off: width 1, 2/16 original arrays exact
epoch3_off: width 3, 4/16 original arrays exact
epoch3_off: width 5, 6/16 original arrays exact
epoch3_off: width 9, 8/16 original arrays exact
epoch3_off: width 17, 10/16 original arrays exact
epoch3_off: width 33, 12/16 original arrays exact
epoch3_off: width 65, 14/16 original arrays exact
epoch3_off: width 129, 16/16 original arrays exact
