rank,target,stage,selected_visits,rows,eligible_windows,positive_windows,negative_windows,positive_clusters,negative_clusters,CORRECTION_LINKED,SPATIALLY_STRUCTURED,UNRESOLVED_WITHIN_FIXED_SCOPE,screen_report
1,WASP-189,LS8K,2,1604,2603,7,6,2,1,1,1,1,results_ls8k_l2_screen/REPORT.md
2,GJ 1132,LS8N,2,615,699,0,12,0,5,0,0,5,results_ls8n_l2_screen/REPORT.md
3,HD 136352,LS8Q,2,1125,1923,0,13,0,3,3,0,0,results_ls8q_l2_screen/REPORT.md
4,TESS_260647166,LS8S,2,1747,2004,6,2,1,1,0,1,1,results_ls8s_l2_screen/REPORT.md
5,EC 12578-2107,LS8V,2,174,201,0,0,0,0,0,0,0,results_ls8v_l2_recovered/REPORT.md
6,GJ 436,LS8W,2,640,936,1,0,1,0,1,0,0,results_ls8w_l2_screen/REPORT.md
7,PG 1245-042,LS8Y,2,164,228,0,4,0,1,1,0,0,results_ls8y_l2_screen/REPORT.md
8,WASP-43,LS8AA,2,271,294,1,0,1,0,1,0,0,results_ls8aa_l2_screen/REPORT.md
9,PG1303-114,LS8AC,2,165,222,0,2,0,1,0,0,1,results_ls8ac_l2_screen/REPORT.md
10,PG 1207-033,LS8AF,2,153,165,6,0,1,0,0,0,1,results_ls8af_l2_screen/REPORT.md
11,EC13080-1508,LS8AI,2,179,288,0,4,0,1,1,0,0,results_ls8ai_l2_screen/REPORT.md
12,PG 1343-102,LS8AK,2,176,231,0,0,0,0,0,0,0,results_ls8ak_l2_screen/REPORT.md
13,HD 106315,LS8AL,2,2382,4698,13,0,3,0,0,0,3,results_ls8al_l2_screen/REPORT.md
14,WASP-103,LS8AO,2,565,804,3,0,1,0,1,0,0,results_ls8ao_l2_screen/REPORT.md
15,GJ 581,LS8AQ,2,3623,7869,30,16,9,5,9,3,2,results_ls8aq_l2_screen/REPORT.md
16,EC 14599-2047,LS8AT,2,170,225,0,0,0,0,0,0,0,results_ls8at_l2_screen/REPORT.md
17,LS IV +09 2,LS8AU,2,212,123,0,0,0,0,0,0,0,results_ls8au_l2_screen/REPORT.md
18,GJ 9404,LS8AV,2,145,150,0,0,0,0,0,0,0,results_ls8av_l2_screen/REPORT.md
19,EC14338-1445,LS8AW,2,159,63,0,0,0,0,0,0,0,results_ls8aw_l2_screen/REPORT.md
20,GJ 536,LS8AX,2,4254,10215,38,5,8,1,3,4,2,results_ls8ax_l2_screen/REPORT.md
21,2MASS J11285624+1010395,LS8BA,2,97,90,6,3,1,1,2,0,0,results_ls8ba_l2_screen/REPORT.md
22,GJ 422,LS8BC,2,97,75,0,0,0,0,0,0,0,results_ls8bc_l2_screen/REPORT.md
23,GJ 494,LS8BD,2,148,165,2,0,1,0,1,0,0,results_ls8bd_l2_screen/REPORT.md
