rank,target,file_key,event_id,sign,start_row_zero_based,duration_rows,classification,image_report,bounded_followup
1,WASP-189,CH_PR100041_TG000201_V0300,TG000201_P0,positive,521,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8l_images/REPORT.md,LS8M
1,WASP-189,CH_PR100041_TG000202_V0300,TG000202_P0,positive,678,1,SPATIALLY_STRUCTURED,results_ls8l_images/REPORT.md,LS8M
1,WASP-189,CH_PR100041_TG000202_V0300,TG000202_N0,negative,119,1,CORRECTION_LINKED,results_ls8l_images/REPORT.md,LS8M
2,GJ 1132,CH_PR100041_TG000401_V0300,TG000401_N0,negative,88,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
2,GJ 1132,CH_PR100041_TG000403_V0300,TG000403_N0,negative,69,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
2,GJ 1132,CH_PR100041_TG000403_V0300,TG000403_N1,negative,132,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
2,GJ 1132,CH_PR100041_TG000403_V0300,TG000403_N2,negative,191,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
2,GJ 1132,CH_PR100041_TG000403_V0300,TG000403_N3,negative,297,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
3,HD 136352,CH_PR100041_TG000901_V0300,TG000901_N0,negative,46,1,CORRECTION_LINKED,results_ls8r_images/REPORT.md,
3,HD 136352,CH_PR100041_TG000901_V0300,TG000901_N1,negative,196,1,CORRECTION_LINKED,results_ls8r_images/REPORT.md,
3,HD 136352,CH_PR100041_TG000101_V0300,TG000101_N0,negative,432,2,CORRECTION_LINKED,results_ls8r_images/REPORT.md,
4,TESS_260647166,CH_PR300046_TG000101_V0300,TG000101_N0,negative,317,3,SPATIALLY_STRUCTURED,results_ls8t_images/REPORT.md,LS8U
4,TESS_260647166,CH_PR100031_TG015701_V0300,TG015701_P0,positive,217,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8t_images/REPORT.md,LS8U
6,GJ 436,CH_PR100041_TG000302_V0300,TG000302_P0,positive,33,1,CORRECTION_LINKED,results_ls8x_images/REPORT.md,
7,PG 1245-042,CH_PR100002_TG008601_V0300,TG008601_N0,negative,31,1,CORRECTION_LINKED,results_ls8z_images/REPORT.md,
8,WASP-43,CH_PR100016_TG007801_V0300,TG007801_P0,positive,62,1,CORRECTION_LINKED,results_ls8ab_images/REPORT.md,
9,PG1303-114,CH_PR100002_TG006402_V0300,TG006402_N0,negative,21,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ad_images/REPORT.md,LS8AE
10,PG 1207-033,CH_PR100002_TG000901_V0300,TG000901_P0,positive,60,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ag_images/REPORT.md,LS8AH
11,EC13080-1508,CH_PR100002_TG005201_V0300,TG005201_N0,negative,65,1,CORRECTION_LINKED,results_ls8aj_images/REPORT.md,
13,HD 106315,CH_PR100041_TG000801_V0300,TG000801_P0,positive,223,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8am_images/REPORT.md,LS8AN
13,HD 106315,CH_PR100041_TG000801_V0300,TG000801_P1,positive,363,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8am_images/REPORT.md,LS8AN
13,HD 106315,CH_PR100041_TG001401_V0300,TG001401_P0,positive,178,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8am_images/REPORT.md,LS8AN
14,WASP-103,CH_PR100013_TG000102_V0300,TG000102_P0,positive,274,1,CORRECTION_LINKED,results_ls8ap_images/REPORT.md,
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P0,positive,1070,1,CORRECTION_LINKED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P1,positive,2033,1,CORRECTION_LINKED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P2,positive,2209,1,SPATIALLY_STRUCTURED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P3,positive,2528,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P4,positive,2581,1,CORRECTION_LINKED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P5,positive,2761,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P6,positive,2833,1,SPATIALLY_STRUCTURED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P7,positive,3044,1,CORRECTION_LINKED,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P8,positive,3133,1,SPATIALLY_STRUCTURED,results_ls8ar_images/REPORT.md,LS8AS
