rank,target,file_key,event_id,sign,start_row_zero_based,duration_rows,classification,image_report,bounded_followup
1,WASP-189,CH_PR100041_TG000201_V0300,TG000201_P0,positive,521,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8l_images/REPORT.md,LS8M
2,GJ 1132,CH_PR100041_TG000401_V0300,TG000401_N0,negative,88,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
2,GJ 1132,CH_PR100041_TG000403_V0300,TG000403_N0,negative,69,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
2,GJ 1132,CH_PR100041_TG000403_V0300,TG000403_N1,negative,132,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
2,GJ 1132,CH_PR100041_TG000403_V0300,TG000403_N2,negative,191,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
2,GJ 1132,CH_PR100041_TG000403_V0300,TG000403_N3,negative,297,3,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8o_images/REPORT.md,LS8P
4,TESS_260647166,CH_PR100031_TG015701_V0300,TG015701_P0,positive,217,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8t_images/REPORT.md,LS8U
9,PG1303-114,CH_PR100002_TG006402_V0300,TG006402_N0,negative,21,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ad_images/REPORT.md,LS8AE
10,PG 1207-033,CH_PR100002_TG000901_V0300,TG000901_P0,positive,60,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ag_images/REPORT.md,LS8AH
13,HD 106315,CH_PR100041_TG000801_V0300,TG000801_P0,positive,223,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8am_images/REPORT.md,LS8AN
13,HD 106315,CH_PR100041_TG000801_V0300,TG000801_P1,positive,363,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8am_images/REPORT.md,LS8AN
13,HD 106315,CH_PR100041_TG001401_V0300,TG001401_P0,positive,178,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8am_images/REPORT.md,LS8AN
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P3,positive,2528,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ar_images/REPORT.md,LS8AS
15,GJ 581,CH_PR100011_TG023701_V0300,TG023701_P5,positive,2761,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ar_images/REPORT.md,LS8AS
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_P1,positive,1849,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ay_images/REPORT.md,LS8AZ
20,GJ 536,CH_PR100011_TG023501_V0300,TG023501_P6,positive,3408,1,UNRESOLVED_WITHIN_FIXED_SCOPE,results_ls8ay_images/REPORT.md,LS8AZ
